o_no	u_no	p_no	o_count	d_no	o_find	o_push	o_date
151	29	32	1	1	1	2	2023-07-14
152	8	12	5	3	1	1	2023-08-30
153	2	1	1	1	1	1	2023-07-04
154	6	1	1	1	1	1	2023-08-23
155	6	28	1	3	1	1	2023-07-16
156	3	28	1	3	1	1	2023-07-30
157	15	11	1	3	1	2	2023-10-11
158	30	43	1	1	1	1	2023-05-20
159	5	43	1	1	1	1	2023-07-19
160	24	9	1	3	1	1	2023-05-23
161	26	9	6	3	1	1	2023-06-01
162	24	7	1	9	1	1	2023-09-26
163	31	30	1	5	2	2	2023-07-25
164	34	30	1	5	1	1	2023-09-15
165	6	30	1	5	1	2	2023-07-10
166	5	65	1	5	1	1	2023-07-27
167	1	65	1	5	1	1	2023-05-23
168	10	13	1	5	1	2	2023-08-25
169	25	13	1	5	1	1	2023-10-01
170	26	13	1	5	1	2	2023-09-21
171	31	13	1	5	1	1	2023-09-05
172	32	13	1	5	1	1	2023-07-20
173	33	13	1	5	1	1	2023-06-21
174	15	36	1	5	1	1	2023-09-14
175	16	36	1	5	1	1	2023-09-26
176	19	23	1	6	1	2	2023-09-27
177	25	23	1	6	1	1	2023-09-29
178	34	23	1	6	1	2	2023-07-04
179	37	37	1	6	1	1	2023-06-22
180	39	37	1	6	1	1	2023-10-10
181	40	8	1	6	1	1	2023-08-18
182	44	8	1	6	1	1	2023-09-03
183	45	8	1	6	1	1	2023-10-10
184	47	8	1	6	1	2	2023-06-15
185	35	6	1	1	1	1	2023-07-08
186	34	6	1	1	2	2	2023-07-28
187	36	6	1	1	2	2	2023-07-13
188	15	5	1	6	1	1	2023-09-20
189	46	5	1	6	1	1	2023-06-07
190	14	5	5	6	1	1	2023-09-29
191	5	4	1	6	1	1	2023-07-24
192	16	4	1	6	1	1	2023-06-17
193	34	3	1	7	1	1	2023-10-04
194	8	3	1	9	1	2	2023-09-09
195	1	3	1	9	1	1	2023-06-30
196	10	2	1	7	1	1	2023-05-26
197	16	2	3	7	1	1	2023-10-06
198	32	2	1	7	1	2	2023-06-04
199	14	2	1	7	1	1	2023-07-01
200	19	2	1	7	1	1	2023-07-07
201	50	59	1	7	1	1	2023-08-15
202	1	60	1	9	1	1	2023-10-15
203	11	60	1	10	1	2	2023-07-11
204	5	25	6	10	1	1	2023-05-29
205	42	25	1	10	1	1	2023-08-17
206	43	25	1	10	1	1	2023-07-12
207	15	25	1	10	1	1	2023-07-22
208	16	25	1	10	1	2	2023-05-18
209	10	25	1	10	1	1	2023-07-21
210	14	16	1	10	1	1	2023-08-20
211	4	16	1	10	1	1	2023-05-23
212	1	16	1	10	1	1	2023-08-14
213	6	16	4	10	1	2	2023-08-30
214	10	16	1	10	1	1	2023-10-09
215	23	29	1	9	1	1	2023-08-31
216	26	29	1	9	1	2	2023-05-25
217	45	29	1	9	1	1	2023-08-19
218	48	17	1	7	1	1	2023-08-17
219	49	17	1	7	1	1	2023-08-30
220	12	18	1	7	1	2	2023-06-25
221	14	18	1	7	1	1	2023-08-25
222	20	19	1	6	1	1	2023-06-20
223	14	19	1	6	1	1	2023-06-13
224	34	15	1	6	1	1	2023-07-17
225	41	15	4	6	1	1	2023-07-02
226	32	14	1	6	1	1	2023-07-18
227	16	14	1	6	1	1	2023-05-29
228	25	14	1	6	1	1	2023-05-29
229	9	14	1	6	1	1	2023-09-02
230	34	21	3	1	1	2	2023-10-13
231	1	21	3	1	1	1	2023-06-23
232	10	21	1	1	1	1	2023-05-21
233	6	55	1	9	1	1	2023-08-12
234	31	66	1	4	1	1	2023-05-25
235	9	66	2	4	1	1	2023-05-28
