r_no	p_no	u_no	r_detail	r_score	r_incense	r_taste	r_effect	r_money	r_throat	r_open	r_date
90	45	42	헬스 하며 먹는 이맛 너무 좋아요	5	90	100	100	80		1	2023-06-17
91	46	44	메이플도 있던데 이 제품도 맛있네여	4	100	90	100	8		2	2023-07-07
92	46	49	진짜 바나나 맛 같아서 좋아요	4	100	90	90	100		2	2023-08-15
93	46	41	다른 제품에 비해 당은 높고 담백질은 낮네요	2	100	60	50	40		2	2023-05-26
94	47	8	매곱하게 운동합니다 화이팅ㅋㅋ	5	90	100	90	80		2	2023-09-30
95	49	1	간단하게 먹을수 있어 좋습니다	5	80	80	80	80		2	2023-07-21
96	49	41	어케 이맛이 나오지?? 너무 좋아요	5	100	100	90	80		2	2023-06-05
97	50	46	와 이거 진짜 찢었다 3박스 더살게요	5	100	100	90	90		1	2023-09-08
98	50	47	진짜 개맛없어요 다 버리게 생김	2	70	70	45	20		1	2023-07-23
99	48	32	건강한 맛이네요 재주문 할게요	5	100	70	80	50		1	2023-09-26
100	51	16	초코는 역시 저를 배신하지 않는군요	4	90	100	80	90		1	2023-06-12
101	51	14	초코맛 너무 사랑해!! 우리 앞으로 평생 함께하자!!	4	90	100	80	90		2	2023-08-11
102	51	5	ㄹㅇ 진짜 강추합니다 꼭 드세요	4	80	100	90	80		2	2023-10-12
103	51	6	먹기 좀 거북하네요 속도 더부룩해지고..	1	75	80	40	90		2	2023-10-07
104	51	36	남들이 먹는데는 항사 이유가 있다	5	90	100	90	80		1	2023-08-19
105	51	30	왜 이제 이걸 알았지 인생 절반 손해 봤네	5	100	100	80	80		2	2023-07-23
106	71	20	압박감이 너무 좋아요 사이즈도 딱이에요	5			80	90		1	2023-06-15
107	71	17	운동에 진짜 도움 되요ㅠㅠ감사합니다	4			100	90		2	2023-09-28
108	71	15	이거 끼고 운동하면 ㄹㅇ개쩔어요ㅋㅋㅋ	5			90	80		2	2023-05-19
109	71	19	색깔도 티도 안나고 좋아요	4			90	40		1	2023-08-16
110	71	7	제다리가 굵어서 그런가 그냥 밴드느낌?	1			30	80		2	2023-08-23
111	71	8	제 종아리가 왜 이걸 찾는지 알거같아요	5			80	90		2	2023-10-09
112	44	23	내 최애 시리얼 너무 맛나요ㅠㅠ	5	90	100	80	80		2	2023-09-06
113	44	15	아침 식사로 간단하게 좋아요	4	90	100	90	80		1	2023-05-20
114	44	4	너무 달아서 건강에 안좋을거 같아요	2	90	60	40	80		1	2023-07-20
115	35	4	칼로리가 낮아서 좋아요	5	100	80	100	80		2	2023-06-24
116	35	6	간단한 한끼 식사로 별로에요	1	80	80	40	20		2	2023-09-25
117	35	1	저칼로리라 맛없는건 알지만 그냥 무맛이네요	1	90	40	40	30		2	2023-09-17
118	35	9	정말 살빼면서 도움 많이 받았어요	4	80	80	100	50		1	2023-07-05
119	38	21	아침이 가볍고 빛나는거 같아요	5	90	80	100	90		1	2023-07-18
120	38	16	피부에 큰 효과는 못봤어요	2	90	90	30	60		1	2023-08-12
121	38	32	제 피부 진짜 촉촉해 졌어요 감사합니다	5	100	80	60	80		1	2023-06-09
122	38	15	너무 좋아요 또살 예정입니다	4	100	100	90	80		1	2023-08-09
123	38	17	왜 이걸 지금 알았을까 더 빨리 알면 좋을걸ㅠㅠ	4	90	100	80	90		2	2023-10-04
124	78	16	잘 사용하고 있습니다. ㅎㅎ	5			100	100		2	2023-09-18
125	77	5	향이 정말 좋네요 최고에요	5			70	100		2	2023-07-19
126	77	7	요가할때 항상 이용한답니다	5			70	100		2	2023-07-04
127	77	1	그냥 나무 타는 냄새가 나네요	2			40	40		2	2023-06-22
128	27	15	피부가 요즘 푸석해서 고민이었는데 확실히 피부가 점점 좋아지고 있어요!	5	90	90	100	100	100	2	2023-09-18
129	27	30	내 피부 걱정이제 이걸로 끝이다!@!	4	90	80	100	80	90	1	2023-09-14
130	33	16	내 피부건강은 이제 이걸로 지킨다	4	80	80	100	90	80	2	2023-08-31
131	33	17	피부 고민 있으신분 이거 사용해보세요	4	90	80	100	80	90	1	2023-08-15
132	33	13	써도 효과는 영..시원치 않네요	1	90	70	40	40	80	1	2023-07-12
133	62	20	피부에 비타민이 들어와 좋아요	5			100	80		2	2023-08-04
134	26	26	혈압을 낮추는데 너무 좋아요	5	90	80	90	80	80	1	2023-06-01
135	26	28	고혈압 화자분들에게 추천들여요	5	100	90	80	70	80	1	2023-10-13
136	26	31	나이드신 분들 혈압 조절 잘해야 합니다	4	100	80	90	90	90	1	2023-09-15
137	32	26	역시 면역력은 홍삼이죠!최고!!최고!!!	5	100	90	90	90	100	2	2023-06-01
138	32	24	오래 사 먹을거 같아서 좋아요	5	90	100	90	95	100	2	2023-09-23
139	32	29	홍삼이라 그런가 너무 쓰네여	2	80	70	40	25	100	1	2023-07-20
140	12	8	이제 하루를 비타민C로 시작하지 않으면 서운할것 같아요 	5	100	80	100	100	70	1	2023-09-18
141	1	2	잘 먹고 있어요 정기적으로 살까 합니다.	5	90	80	90	100	80	2	2023-09-15
142	1	6	효과가 생각보다 좋은 것 같아요 	5	90	80	90	100	90	1	2023-09-15
143	28	6	먹는데도 편하고 좋은거 같아요	3	90	80	90	90	80	1	2023-09-18
144	28	3	우리 몸을 위해 작은 투자라 생각할게요	5	80	90	90	80	90	1	2023-10-06
145	11	15	B가 많이 들어 있다는건 모르겠어요	2	80	80	40	40	80	1	2023-08-08
146	43	30	오래 사용할거 같습니다 많이 파세요	4	80	80	90	100		2	2023-05-21
147	43	5	이거사용 전하고 차이가 나네요 감사합나다	5	90	80	90	90		2	2023-07-25
148	9	24	우유맛으로 간단하게 먹을수 있어 좋아요	5	100	90	40	80	100	2	2023-07-06
149	9	26	맛도 좋고 다 좋아요 또살거에요	5	100	90	100	80	100	2	2023-08-18
150	7	24	장이 안좋았는데 도움되는거 같아요	4	100	90	100	90	100	2	2023-08-20
151	30	34	유산균은 역시 프로바이오틱스!	4	90	100	100	90	90	1	2023-08-17
152	30	6	먹으면서 유산균이 다 죽는거 같은데..	2	90	70	40	45	80	1	2023-07-31
153	65	5	제몸에 대해 잘 알려주네요 좋은 제품이네요	4			80	80		1	2023-07-29
154	65	1	남성분들은 한번씩은 써야 하는 제품이네요	4			90	90		2	2023-07-01
155	13	10	딱히 큰 효과는 없는거 같아요	1	80	70	40	40	80	2	2023-06-17
156	13	25	남성분들을 위한 재품입니다	5	80	80	80	90	90	1	2023-10-05
157	13	26	먹어도 별다를게 없는데요	2	90	80	30	40	40	1	2023-09-02
158	13	31	이거먹고 오늘 하루도 활기차네요!	5	80	80	90	80	50	2	2023-07-05
159	13	32	시간이 지나면 재구매 할거에요	4	100	90	100	80	60	2	2023-07-31
160	13	33	남성분들 꼭사세요 꼭 강추!	3	90	80	100	90	90	1	2023-08-11
161	36	15	오늘 하루 활력 부스터 최고입니다	4	90	90	100	90		2	2023-09-27
162	36	16	간편하게 섭취하는게 제일 좋은거 같아요	4	80	90	90	100		1	2023-08-20
163	23	19	이거 먹는다고 좋아지진 않더라구요	2	80	90	40	25	40	1	2023-08-03
164	23	25	자신감이 뿜뿜나오네요 재구매 의사있습니다	5	100	100	80	100	50	2	2023-09-01
165	23	34	이미 안되는건 안되는거 같아요	2	100	80	30	35	50	2	2023-09-05
166	37	37	효과가 너무 좋습니다. 잘 챙겨 먹을게요.	5	100	80	90	100	70	1	2023-09-14
167	37	39	가성비 좋은 재품 오랜만에 보네요	5	80	90	90	100		2	2023-07-30
168	8	40	눈 영양제로 정말 좋아요	5	90	80	90	90	90	2	2023-09-10
169	8	44	내 미래를 위해 내 눈을 위해	4	85	90	90	80	80	1	2023-06-17
170	8	45	이거 먹고 건강하게 살고 싶어요	4	95	90	95	90	80	1	2023-07-03
171	8	47	아무리 먹어도 효과 없는거 같아요	1	90	80	40	40	40	1	2023-08-26
172	6	35	여성에게 필요한 재품!!당장 구매하세요!	5	90	90	80	6	50	1	2023-09-18
173	5	15	엄마 사주고 같이 먹어요 잘먹을게요	4	100	100	90	90	80	2	2023-06-23
174	5	46	엄마도 좋아하는거 보니 좋네요	4	100	100	90	80	90	2	2023-06-27
175	5	14	엄마껀데 내가 더 많이 먹는중ㅋㅋ	4	90	100	100	80	80	2	2023-10-13
176	4	5	아이 엄마랑 같이 먹고 있어요 매일 챙겨먹을게요!	5	80	100	100	100	90	2	2023-09-10
177	4	16	필요 없으시다면서 계속 챙겨 드시네요	4	80	80	100	80	80	1	2023-08-18
178	3	34	비타민이 정말 많이 들어 있습니다	4	90	90	100	90	90	1	2023-06-23
179	3	8	비타민 챙기실분은 다른 제품 찾아보세요	2	80	80	20	30	90	1	2023-06-10
180	3	1	비타민 챙기실분은 이거 사서 드세요	5	90	80	90	80	80	2	2023-06-13
181	2	10	나이먹고 오메가3가 중요하다네요	4	90	90	80	80	80	2	2023-06-16
182	2	16	우리 아이에게 오메가3먹일라고 샀어요	4	90	90	90	90	70	1	2023-05-21
183	2	32	크기가 커서 목넘기기 힘들어요	1	80	90	25	45	40	2	2023-09-07
184	2	14	쉽게 먹어서 너무 좋네요	3	80	90	90	80	90	2	2023-05-25
185	2	19	아는 지인에게 선물해주더니 좋아 하더라구요	4	100	90	80	50	100	1	2023-07-15
186	59	50	내 피부를 위해 투자한다 생각하니 좋네요	4			90	60		1	2023-10-03
187	60	1	없던건도 다시 자라니 보기 좋아요	5			80	80		1	2023-06-26
188	60	11	이거 쓴다고 갈놈들은 가더라	2			20	40		1	2023-06-19
189	25	5	먹기 편한 것 같아요 향도 생각했던 것 보다 좋네요!!	1	90	100	90	100	70	1	2023-09-09
190	25	42	오늘도 건강한 하루 하루 보내도 있어요 	5	80	100	90	100	100	2	2023-09-08
191	25	43	가성비가 너무 좋은데요 남는게 있나요?	5	90	90	90	90	90	2	2023-10-05
192	25	15	맛이 너무 사기임 진짜..그래서 또살거임	4	100	100	100	80	80	1	2023-07-03
193	25	16	그래도 요리엔 올리브유나 다른 건 따라가긴 힘드내요	1	80	80	25	40	40	1	2023-09-03
194	25	10	한번 사용하면 다시 나올수가 없습니다	1	100	100	100	80	90	1	2023-06-11
195	16	14	우리 아이 면역기능 이걸로 챙겨요	5	90	90	100	90	80	1	2023-07-13
196	16	4	면역기능이 제일 중요하죠!!	5	80	80	100	80	60	1	2023-09-01
197	16	1	진짜 오래 동안 먹을겁니다 준비해 두쇼	5	90	90	100	80	80	1	2023-08-30
198	16	6	약도 좋지만 과일로 면역기능 올리는게 더 좋을거 같어요	2	90	90	25	75	70	1	2023-08-08
199	16	10	쉽게 면역력 챙겨서 너무 감사해요	5	90	80	90	80	90	2	2023-08-09
200	29	23	기억력 개선등 다양한 효과를 볼수 있어요	4	100	890	80	90	80	1	2023-07-30
201	29	26	가성비는 좋지 않아요 너무 비쌈	1	80	90	50	40	70	1	2023-08-03
202	29	45	눈 건강 기능도 있다니 정말 좋군요	4	90	80	90	80	90	1	2023-07-20
203	17	48	액상으로 편하게 먹어서 좋아요	5	80	100	90	90	100	2	2023-07-22
204	17	49	우리 아이도 먹기 편해서 좋네요	5	80	100	90	100	100	2	2023-07-29
205	18	12	액상으로 그런가 몸에 흡수 덜되는 느낌?	1	90	70	45	25	100	1	2023-09-25
206	18	14	액상으로 쉽게 사용 가능해서 좋아요	5	90	100	90	60	100	1	2023-08-10
207	19	20	내 부족한 마그네슘을 쉽게 채울수 있어요	5	90	100	85	80	100	1	2023-08-03
208	19	14	액상 상품중에 제일 좋은거 같아여	4	100	100	90	50	100	1	2023-05-24
209	15	34	기억력 면역력 한번에 GOOD!	4	100	100	45	60	80	2	2023-10-08
210	15	41	우리아이는 진짜 튼튼하게 자랄거 같아요	4	90	100	90	60	80	2	2023-07-07
211	14	32	우리아이 장 건강은 이걸로 지킨다	5	90	90	90	90	90	2	2023-09-09
212	14	16	나도 이걸로 쾌변했어요! 감사합니다	5	80	90	80	50	80	2	2023-08-10
213	14	25	먹기도 좋고 편하네요 또 살게요	5	90	90	90	60	80	2	2023-08-21
214	14	9	우리 아기 사랑보단 이거로 건강하게 키워요~	5	90	80	90	80	90	1	2023-09-12
215	21	34	이미 늙어서 그런지 큰 효과는 못봤어요	2	80	90	25	60	80	1	2023-07-04
216	21	1	나이먹고 꾸준하게 먹어야 겠어요	4	90	80	90	60	80	1	2023-09-16
217	21	10	가족들하고 같이 먹어요!	4	90	90	80	80	90	1	2023-08-14
218	55	6	내손에 있는 균은 다 죽어버린거 같아요	4			90	60		1	2023-08-23
219	66	31	오래 담아도 걱정없이 먹어요	4			90	90		1	2023-09-08
220	66	9	꾸준하게 약먹게 도와줘서 감사합니다!	5			100	80		1	2023-05-26
