p_no	p_name	p_detail	c_no	p_price	p_discount	p_num
17	액상 비타민 C	흡수율 높은 액상으로 아가들도 맛있게 꿀떡꿀떡 잘 먹는 무설탕 천연 오렌지맛 시럽의 비타민C입니다.	18	11900	33	1
18	액상 비타민 D3	체내 흡수에 용이한 프리미엄 원료, 비타민 D3. 스포이드 타입으로 더 간편합니다.	18	12900	38	1
19	액상 칼슘 마그네슘	흡수율 높은 구연산 칼슘을 마그네슘과 황금배합으로 담았습니다.	18	25900	23	1
20	엠에스엠 1000mg	현대인 필수 관절 영양제 자로우 msm, 파우더 타입으로 음료에 섞어 간단히 섭취 가능한 자로우 msm 킬로	2	54900	7	1
21	오메가3	필리 오메가3는 작은 어류를 원료로 사용하는 노르웨이산 프리미엄 rTG 오메가3(EPA 및 DHA 함유유지)를 사용하고 우수한 품질관리를 통해 만들었습니다.	14	13500	0	1
22	우먼즈 펨 도필러스	글로벌 no.1 질유산균 (매년 북미 소비자 조사 1위). 비건캡슐, 알러지프리 1.5cm의 미니사이즈. 세계 3대 유산균 기업 한센의 urex 프로바이오틱스를 사용.	1	30000	10	1
23	전립소 쏘팔메토 골드	리턴업 전립소 쏘팔메토 골드는 식약처로부터 기능성 및 안전성을 인정받은 미국산 고품질 쏘팔메토 열매추출물과 아연을 주원료로 만들었습니다.	11	39000	54	1
24	칼슘 마그네슘 비타민D	칼슘 마그네슘 비타민D는 북대서양 해저에서 수확한 해조류를 사용한 영국산 해조분말에 비타민D와 마그네슘을 포함하여 우수한 품질관리를 통해 만들었습니다.	2	12400	0	1
25	코드리버오일 대구간유	높은 흡수율과 풍부한 영양소를 자랑하는 프리미엄 원료인, 대구간유에서 추출한 아기 오메가3입니다.	18	30000	30	1
26	코엔자임Q10	필리 코엔자임Q10은 국제표준인증(GMP, ISO_900, ISO_22000)을 획득한 원료를 사용하여, 우수한 품질관리를 통해 만들었습니다.	7	15700	0	1
27	콜라겐	필리 콜라겐은 프랑스산 저분자 피시 콜라겐 원료를 사용하였으며, 첨가물 없이 우수한 품질관리를 통해 만들었습니다.	6	26800	0	1
28	판토텐산	하루를 채우는 10,000% 고함량 판토텐산으로 시작하는 활력 넘치는 삶, 국내유일 판토텐산 단독 제품 자로우 판토텐산	16	22900	0	1
29	퓨어 DHA	높은 흡수율과 풍부한 영양소를 자랑하는 프리미엄 원료, 대구간유에서 추출한 어린이 오메가3입니다.	18	15900	29	1
30	프로바이오틱스	필리 프로바이오틱스는 캐나다 로셀의 PROBIOCAPⓇ 특허원료와 미국 다니스코 원료를 포함한 11종의 유산균을 사용하여 우수한 품질관리를 통해 만들었습니다.	10	13800	0	1
31	프로폴리스 젤리	프로폴리스 젤리는 브라질산 그린 프로폴리스를 미국 기술로 가공한 원재료를 사용했습니다. 특유의 향미가 없어 누구나 먹기 쉽고 젤리 제형으로 구강항균, 항산화 모두 도움이 됩니다.	15	12500	0	1
32	홍삼 옥타코사놀	필리 홍삼 옥타코사놀은 국내산 6년근 홍삼과 옥타코사놀에 천연 비타민E를 포함하여 우수한 품질관리를 통해 만들었습니다.	7	21000	0	1
33	히알루론산 스피루리나	필리 히알루론산 스피루리나는 피부 보습을 위한 히알루론산과 피부 건강·항산화를 위한 유기농 스피루리나에 국산 쌀겨추출물(부원료)를 더하여 우수한 품질관리를 통해 만들었습니다.	6	19500	0	1
34	골리 애플사이다 비니거 구미	글루텐, 젤라틴 및 동물성원료를 사용하지 않은 제품으로 깐깐한 기준(미국FDA, 코셔인증 및 비건인증)을 통과한 비건간식입니다.	4	32000	26	2
35	디데이밀 밸런스	식물성 두부 프로틴이 들어간 한끼 대용식입니다.	4	3500	0	2
36	마카롱EX	고함량 마카 3,000mg 함유, 간편한 섭취로 언제 어디서나 맛있게 섭취, L-아르기닌과 아연으로 더 강하게	11	31000	20	2
37	발효효소 베이직	리턴업 발효효소 베이직은 소화과정에서 꼭 필요한 2가지 소화효소를 정성껏 발효하여 충분하게 담았습니다.	12	30000	38	2
38	브이차 에센셜	브이라인과 촉촉함을 위한 2in1 브이 앰플워터입니다.	4	34000	0	2
39	아르타민	아르기닌, 비타민B, 비타민C를 포함하는 물에 타 먹는 자몽맛 에너지 분말입니다.	8	41000	14	2
40	알디콤	특허받은 안심 성분인 A-HAT농축액 사용, 가볍고 빠르게 간편한 숙취해소, 합리적인 가격으로 부담없는 한 포, 미국FDA에 등록	9	17000	12	2
41	에어 콘스프	99칼로리 이하의 가벼운 열량으로 단짠단짠 고소한 단백질 스낵입니다.	4	2500	0	2
42	엠씨티(MCT) 오일 591ml	100% 천연 유래 코코넛 오일로 채운 중쇄지방산으로 C8 + C10 + C12의 황금 배합으로 운동 효율을 개선시킬 수 있는 제품입니다.	4	31900	9	2
43	취선	한포(2g)에 재첩 1.200마리의 해독 아미노산인 오르니틴을 함유한 고 기능성 숙치해소 제품입니다.	9	6000	0	2
44	코코놀라 오리지널	오븐에 구워만든 건강한 간식, 코코넛 그래놀라칩입니다.	4	3000	0	2
45	프로틴스낵 메이플	피곤한 오후 근무 활력충전 가능한 달콤바삭 프로틴 스낵입니다.	4	3500	0	2
46	프로틴스낵 바나나	건강한 맛의 바나나킥 단백질 함량 높고 아이들도 좋아하는 단백질 과자입니다.	4	3500	0	2
47	프로틴스낵 칠리	매콤한 단백질 스낵으로 단백질 냄새 없이 맥주안주로도 훌륭한 스낵 제품입니다.	4	3500	0	2
48	플라이밀 그린	파우치 개별포장으로 휴대성을 높인 고단백 쉐이크입니다. 진한 녹차라떼 맛을 즐겨보세요.	4	5000	20	2
49	플라이밀 브라운	파우치 개별포장으로 휴대성을 높인 고단백 쉐이크입니다. 달달한 미숫가루 맛을 즐겨보세요.	4	5000	20	2
50	플라이밀 블랙	파우치 개별포장으로 휴대성을 높인 고단백 쉐이크입니다. 고소한 흑임자 맛을 즐겨보세요.	4	5000	20	2
51	플라이밀 초코	파우치 개별포장으로 휴대성을 높인 고단백 쉐이크입니다. 깊은 풍미의 초코맛을 즐겨보세요.	4	5000	20	2
52	달에서 온 팩	아랫배 온기 충전 한약재 함유. 붉은 달에 찾아오는 그날에 싸늘함 아랫배를 따뜻하게. 빈틈없이 착 달라붙고 끈적임 없이 싹 떨어져요.	1	10000	7	3
53	마루 대나무 칫솔 스탠다드(1개입)	이중미세모로 치석 제거와 잇몸 케어 두 가지를 동시에 케어하는 마루 대나무 칫솔입니다.	3	2800	0	3
54	마루 대나무 칫솔 스탠다드(6개입)	이중미세모로 치석 제거와 잇몸 케어 두 가지를 동시에 케어하는 마루 대나무 칫솔입니다.	3	16800	5	3
55	마이솝 핸드겔	필리 마이솝 핸드겔은 보습력이 더해진 휴대용 세니타이저(소독제)로, 손에 있는 각종 유해 세균으로부터 건강을 지키도록 도와줍니다.	15	3500	0	3
56	목교정기	우리 목을 위한 바른자세 목 서포터 바르다 목교정기입니다.	2	55000	45	3
57	무릎보호대 L	의료기기로 등록된 무릎용 압박밴드 밸런스엑스밴드L(라지)입니다.	2	35000	43	3
58	무릎보호대 M	의료기기로 등록된 무릎용 압박밴드 밸런스엑스밴드M(미디움)입니다.	2	35000	43	3
59	비오틴 워터 트리트먼트 250ml	모발에 빠르게 침투하는 액상형 트리트먼트입니다.	17	20000	35	3
60	비오틴 탈모케어 샴푸 500ml	탈모고민, 두피영양과 진정까지 생각한 비건 인증 탈모샴푸입니다.	17	25000	34	3
61	비오틴 탈모케어 앰플 100ml	비오틴 1,000ppm과 8종 식물추출물이 모근부터 튼튼할 수 있게 도와줍니다.	17	18000	33	3
62	비타민 시트 마스크	필리가 선택한 비타민나무수, 보성어린녹차수의 비타민 컴플렉스가 21.5% 함유된 비타민 마스크팩으로 피부부터 수분과 비타민을 가득 채워줍니다.	6	2800	10	3
63	손목보호대 L(왼손)	압박강도 조절로 간편하게 일상 손목 보호를 할 수 있는 손목보호대(왼손)입니다	2	40900	58	3
64	손목보호대 R(오른손)	압박강도 조절로 간편하게 일상 손목 보호를 할 수 있는 손목보호대(오른손)입니다.	2	40900	58	3
65	스윔카운트	정자 직진운동성 자가진단 의료기기, 국내 병원 임상시험 결과 정확도 88.7%, 남성의 생식 능력 확인에 도움을 줌	11	79000	20	3
66	습기철벽 텅텅통	습기에 찐득해지는 소분통은 그만!	6	4000	0	3
67	오비츠 자일리톨 고체치약 유자민트향	자일리톨 함량은 높이고 유해성분은 낮춘 오비츠 자일리톨 고체치약입니다. 부드러운 유자민트향을 느껴보세요.	3	5300	0	3
68	오비츠 자일리톨 고체치약 프레쉬민트향	자일리톨 함량은 높이고 유해성분은 낮춘 오비츠 자일리톨 고체치약입니다. 상쾌한 프레쉬민트향을 느껴보세요.	3	5300	0	3
69	올림피아 자그놀리 x 글로썸 인센스 콜라보 에디션	밀레니엄 세대에서 가장 흥미로운 일러스트레이터로 불리고 있는 올림피아 자그놀리의 작품을 일상 속에서도 만나보세요.	5	33000	0	3
70	종아리 압박밴드 M	바디픽셀 캐리밴드 종아리압박밴드는 100% 국내에서 생산한 자체 제작 1등급 의료기기 압박밴드M(미디움) 입니다.	4	35000	43	3
71	종아리 압박밴드 S	바디픽셀 캐리밴드 종아리압박밴드는 100% 국내에서 생산한 자체 제작 1등급 의료기기 압박밴드S(스몰) 입니다.	4	35000	48	3
72	치실(실크)	생분해되는 치실입니다. 실크로 제작하고 식물성 왁스로 코팅했어요.	3	5800	0	3
73	프레시브레스 오랄린스 마일드민트 437ML	테라브레스 프레시브레스 마일드민트는 미국 테라브레스 본사에서 한국 식약처 기준에 맞춰 직접 제작한 공식수입제품입니다. 자극적이지않고 순한 사용감으로 저자극으로 입냄새를 없애고 싶은 분들께 추천합니다.	3	15000	31	3
74	프레시브레스 오랄린스 아이시민트 437ML	테라브레스 프레시브레스 아이시민트는 미국 테라브레스 본사에서 한국 식약처 기준에 맞춰 직접 제작한 공식수입제품입니다. 구강 내 프라그 및 악취제거는 물론 자일리톨과 아이시민트의 청량감을 더했습니다.	3	15000	31	3
75	홀리스모크 인센스 홀더	인센스 스틱을 태우는 그릇 혹은 인테리어 소품으로 취향과 용도에 맞게 활용해 보세요. 고유한 무드로 공간에 마음에 차분함을 전합니다.	5	33000	0	3
76	홀리스모크 팔로산토 버너	팔로산토 스머지 스틱을 태우는 그릇 혹은 인테리어 소품으로 취향과 용도에 맞게 활용해 보세요.	5	65000	0	3
77	홀리스모크 팔로산토(THIN)	시트러스함을 지닌 스모키한 우드향에 이어, 은은한 달콤함이 코 끝을 스치는 팔로산토. 나무 본연의 신비로운 향이 부정적인 기운을 정화하고 행운을 불러온다고 전해져 내려오는 100% 천연 향입니다.	5	14000	36	3
78	홀리스모트 팔로산토 내추럴 인센스스틱	국내 유일, 100% 팔로산토 우드 스틱 원물을 갈아 만든 천연 우디향 인센스스틱입니다. 일상에서 생기는 잡내를 빠르고 깔끔하게 탈취하여 심신의 안정을 느껴보세요.	5	12000	0	3
