no	user	post	content	score
62	22	420	입금하자마자 연락안보고 잠수탑니다 일주일정도 지났는데 아직도 안오네요 연락안봐요	2
63	35	774	물건도 없으면서 돈은 왜 받아쳐먹냐?찌찔하게 ...사기상점 완전사기꾼	1
64	64	909	친절한 대응과 빠른 배송 감사합니다😁👍	1
65	29	651	배송도 빠르고 완전 친절하십니다 번창하세용	2
66	25	59	좋아요 👍👍👍잘샀어용 마음에들어요 즐거운거래였습니다	5
67	28	60	가격이 워낙 착하게 나와서 상품 상태는 크게 기대하지 않았는데, 가격 만큼이나 컨디션도 좋아서 깜짝 놀랐어요 😳🖤 배송도 빠르고 친절하셔서 또 기회가 된다면 거래하고픈 마음입니다 🌼	2
68	81	464	상품 꼼꼼하게 잘보내주셨네요 잘받았어요. 감사합니다	1
69	41	981	친절하시고 배송도빠르게 잘받았어요^^	5
70	83	442	맘에 쏙 들어요~ 감사합니다~~ ♡♡	4
71	61	13	옷 잘 받았습니다 ~감사합니다 ~~~~	4
72	24	287	거래감사합니다	2
73	42	677	항상 좋은물건 깔끔한거래 감사합니다.	3
74	79	799	완전 싸게잘샀어요 감사합니다.번창하세요	2
75	66	29	갑자기 연락드렸는데 친절하게 응대해주시고 깔끔하고 친절한거래 감사합니다 	2
76	69	145	💖친절하게 응대해 주시고 좋은 거래해주셔서 너무나 감사드립니다 복 받으실거예요💖	4
77	45	939	좋은거래 감사드립니다^^ 잘쓰시고 새해 복 많이 받으세요~	2
78	38	867	쿨거래 감사합니다 ^^ 한상 행복하시고 좋은거래로 또 뵈어요♥️♥️♥️	4
79	38	252	쿨거래 감사합니다👍 답변도 빠르시고 시원시원하시네용	3
80	38	608	꼼꼼한 배송 감사합니다 ! 항상 만족스러워요 💕	4
81	12	697	두번째 거래였는데 배송도 빠르고 상품도 잘 받았어요 너무 친절하고 좋아요~	4
82	72	478	잘 받았습니다^^ 건강하시고 따뜻한 겨울 보내세요…	4
83	2	638	상품의 품질이 매우 뛰어납니다. 또한 상점 주인이 매우 상냥하십니다!	1
84	24	542	상당히 맘에드네용ㅎㅎ 비록 주문이 늦어져서 한달넘게 걸리긴했지만 맘어듭니다ㅎ	5
85	7	411	상태 괜찮고, 최대한 부셔지지 않게 신경을 쓴 흔적이 보입니다 감사합니다 잘 쓸게요	2
86	62	955	친절하시고 빠른배송 아주만족합니다! 굿굿	1
87	49	173	감사해요 많은질문에도 친절 또 친절.. 다음달에 또 재구매할게여~~♥	5
88	61	715	택배도 잘받았고 상태가 좋진않았지만 그래도 만족합니다!! 감사해요!	1
89	79	729	초고속 배송과 친절함으로 대해주십니다.	4
90	19	37	잘받앗어여!!	5
91	66	705	사기꾼입니다. 입금했는데 아무 말이 없고 본인인증없습니다. 그리고 바로 물품 다시 up합니다 그리고 저는 지금 차단한상태라 말도 못걸더군요	5
92	45	432	너무 착하시고 답변 엄청 빠르세요 제가 대량으로 좀 구매를 했는데 서비스를 많이 해주셨고 제가 오해했던 부분을 이해해주시고 배려해주시고 그리고 정말 이런 천사같은 분을 기능장터에서 처음 만난 기분입니다(ง ̇∇ ̇)ว 	1
93	16	525	오늘 받았어요. 정말 마음에 듭니다. 이쁘게 잘 쓸게요 	4
94	21	48	물건 잘 왔어요 예쁘네요 감사합니다~~~^	5
95	86	714	품질 좋아요...............	5
96	9	218	제게 필요했던 제품이었는데 가격이 너무비싸 망설이던차 저렴한 금액에 구매할수있어 너무 좋네요 제품도 새것이구요 넘 감사합니다 잘 입겠습니다~~사장님~~^^	2
97	46	105	쿨거래 감사해요	4
98	13	936	처음 구매하는 상점이라 이것저것 많이 여쭤봤는데 걱정이 무색하게 엄청 빠른 답장과 빠른배송 으로 넘 놀랐어요 쿠* 로켓배송인줄 ㅎㅎㅎ 상품와서 뜯어봤는데 가격이 넘 착해서 기대안했는데 너무너무너무너무 퀄좋아요ㅠㅠ 감동 다른것도 사려고 이것저것 찜하규 다니는중입니당 ㅎㅎㅎ 고민하지말고 구매하세요!	1
99	86	354	판매자님 매우 친절하시고 늦은시간에도 응대감사했습니다~^^ 택배과정사진도 찍어보내주시고 다음에 또 믿고 거래할수있을거같아요~저렴한 가격에 감사합니다~^^	5
100	40	969	잘받았습니다 감사합니다 	1
101	40	831	친절하시고 원활한 거래 너무 좋았습니다 많이 파세용.~	3
102	44	268	꺄오! 감사합니다. 아주 맘에 쏙 듭니다. (최고최고)	3
103	34	409	좋은상품 배송 만족합니다	4
104	34	782	하루만에 받았습니다 성능 그대로 깔끔 합니다	4
105	47	847	배송도 빠르고 사장님께서 친절하게 응대해주셔요 좋은제품 저렴하게 구매했습니다 감사합니다~	2
106	54	517	마음에 들구요 그리고 사장님도 친절하시구요 고맙습니다	3
107	8	615	좋아요~ 품질 서비스 포장 아주 만족입니디	2
108	16	172	감사합니다. 잘사용할께요^^	1
109	26	990	사장님 친절하고 제품좋아요!	5
110	38	514	감사합니다👏🏽	3
111	21	1014	굿입니다...	1
112	6	31	너무 만족스러운 거래였어요~~	4
113	43	544	벌써 두번째 거래입니다.너무좋은물건 싸게주셔서감사합니다	4
114	76	846	뾱뾱이로 안전하게 포장도 해주시고 잘쓰겠습니다	5
115	21	811	하루만에 받았습니다 깔끔한 제품 잘 사용하겠습니다^^	4
116	3	125	배송 빠르고 친절하게 응대해 주시네요	1
117	30	175	상태좋고 잘되고 배송 진짜빠르네요 ㅠㅠ잘쓸게요 감사합니다	5
118	42	89	좋은물건 잘받았습니다. 잘 쓰겠습니다.	4
119	31	520	너무 친절하시고 저랑 좀 맞아요 ㅎ 제생각	5
120	64	189	구성품 상태 너무좋고 아주 좋습니다 감사합니다	1
121	28	316	배송이 착불이네요 조금 당황했습니다 물건 포장이랑 잘 싸주셨네요 바깥박스는 다소 약한거 같아요	1
122	24	219	빠르고 좋은 거래 감사합니다 또 이용하겠습니다 믿음가는 거래였습니다	5
123	62	856	배송은구매후다음날바로받았고 포장도완충제엄청많이넣어서안전하게잘왔어요 좋은제품싸게사서좋네요	1
124	64	994	포장도 꼼꼼하게 잘 해주셨고 제품도 신뢰할 수 있었습니다. 잘 쓰겠습니다^^	3
125	18	328	아주 좋은 구매였다고 생각하고, 다음에도 여기서 살 의향 있네요!!	5
126	49	720	정말 친절하시고 상품이 잘 도착했는지여부까지 알려주시네요. 감사합니다.	5
127	86	875	배송이 엄청 빠르네요.. 문제점도 신속히 해결해주시고요 잘 쓰겟습니다. 	3
128	83	355	빠른배송과 제품이 너무 좋네요 지인들한테 소개도 당당하게 해줄수 있을것 같아요	3
129	46	652	너무 받고싶어서 시간이 안갔어요ㅠㅠ 너무 마음에들고 잘 쓰겠습니다!!	2
130	16	81	상담도 친절하시고 답변도 빨라요 특히 배송이 완전 빨라요!!	2
131	1	903	택배가 엄청 꼼꼼하게 와서 좋았어요! 구성품도 알차고 매우 만족합니다👍	3
132	4	476	감사합니다 꼼꼼한포장 친절한 응대 감사드립니다.	1
133	64	435	아이구 감사합니다...잘 사용하겠습니다...	1
