phno	uno	pno	date	size	state
54	30	46	2023-08-03	S(1),M(1),L(1),XL(2)	2
55	24	97	2023-08-03	S(0),M(0),L(0),XL(2)	6
56	47	27	2023-08-03	S(1),M(0),L(0),XL(0)	3
57	23	76	2023-08-03	S(1),M(2),L(1),XL(2)	5
58	53	91	2023-08-03	S(2),M(0),L(2),XL(1)	2
59	71	53	2023-08-03	S(1),M(2),L(1),XL(1)	5
60	67	72	2023-08-03	S(1),M(1),L(1),XL(2)	1
61	26	3	2023-08-03	S(2),M(1),L(0),XL(0)	3
62	76	66	2023-08-03	S(0),M(1),L(0),XL(1)	5
63	14	58	2023-08-03	S(0),M(2),L(1),XL(0)	2
64	43	58	2023-08-03	S(2),M(1),L(1),XL(1)	2
65	10	86	2023-08-03	S(2),M(2),L(2),XL(1)	1
66	8	92	2023-08-03	S(2),M(0),L(2),XL(1)	6
67	93	51	2023-08-03	S(0),M(1),L(1),XL(0)	5
68	23	65	2023-08-04	S(1),M(0),L(1),XL(2)	5
69	20	20	2023-08-04	S(2),M(1),L(0),XL(0)	4
70	38	29	2023-08-04	S(1),M(2),L(2),XL(0)	3
71	31	7	2023-08-04	S(2),M(1),L(1),XL(2)	6
72	23	25	2023-08-04	S(1),M(0),L(2),XL(2)	6
73	30	46	2023-08-04	S(2),M(0),L(2),XL(0)	5
74	20	65	2023-08-04	S(2),M(1),L(2),XL(1)	3
75	26	62	2023-08-04	S(1),M(2),L(2),XL(2)	2
76	35	40	2023-08-04	S(2),M(1),L(0),XL(1)	5
77	100	52	2023-08-04	S(2),M(0),L(0),XL(2)	1
78	45	25	2023-08-04	S(1),M(1),L(0),XL(1)	1
79	10	34	2023-08-04	S(2),M(1),L(1),XL(0)	6
80	77	70	2023-08-04	S(0),M(0),L(2),XL(1)	2
81	58	86	2023-08-04	S(1),M(1),L(0),XL(1)	3
82	24	18	2023-08-04	S(2),M(1),L(1),XL(0)	5
83	51	14	2023-08-04	S(0),M(0),L(2),XL(0)	5
84	67	40	2023-08-04	S(1),M(0),L(1),XL(2)	5
85	78	83	2023-08-04	S(2),M(0),L(1),XL(1)	2
86	5	78	2023-08-04	S(1),M(2),L(1),XL(0)	2
87	72	62	2023-08-04	S(2),M(2),L(2),XL(0)	5
88	61	63	2023-08-04	S(2),M(2),L(1),XL(0)	2
89	85	89	2023-08-04	S(2),M(1),L(1),XL(2)	1
90	21	58	2023-08-05	S(1),M(0),L(0),XL(1)	1
91	66	54	2023-08-05	S(1),M(1),L(0),XL(2)	4
92	26	45	2023-08-05	S(1),M(0),L(1),XL(2)	5
93	78	86	2023-08-05	S(1),M(1),L(2),XL(1)	2
94	86	64	2023-08-05	S(2),M(0),L(1),XL(2)	1
95	70	90	2023-08-05	S(0),M(1),L(2),XL(0)	1
96	31	85	2023-08-05	S(1),M(1),L(0),XL(0)	6
97	24	100	2023-08-05	S(2),M(2),L(2),XL(0)	1
98	87	41	2023-08-05	S(1),M(1),L(1),XL(2)	4
99	44	41	2023-08-05	S(1),M(1),L(2),XL(2)	5
100	35	3	2023-08-05	S(2),M(2),L(0),XL(1)	4
101	80	77	2023-08-05	S(2),M(2),L(0),XL(2)	3
102	76	32	2023-08-05	S(1),M(1),L(0),XL(0)	6
103	76	51	2023-08-05	S(1),M(0),L(0),XL(1)	6
104	85	40	2023-08-05	S(2),M(1),L(2),XL(2)	1
105	57	6	2023-08-05	S(0),M(2),L(1),XL(0)	5
106	37	7	2023-08-05	S(2),M(2),L(2),XL(2)	3
107	44	60	2023-08-05	S(1),M(1),L(1),XL(1)	5
108	46	94	2023-08-05	S(1),M(0),L(1),XL(2)	5
109	77	26	2023-08-05	S(2),M(1),L(1),XL(2)	6
110	74	14	2023-08-05	S(1),M(1),L(0),XL(1)	3
111	80	97	2023-08-05	S(1),M(1),L(2),XL(2)	2
112	45	35	2023-08-05	S(1),M(2),L(0),XL(0)	3
113	70	34	2023-08-06	S(1),M(1),L(1),XL(2)	4
114	34	8	2023-08-06	S(0),M(1),L(1),XL(0)	4
115	12	61	2023-08-06	S(0),M(1),L(0),XL(0)	6
116	88	90	2023-08-06	S(0),M(1),L(0),XL(0)	3
117	47	45	2023-08-06	S(0),M(2),L(0),XL(2)	3
118	37	23	2023-08-06	S(0),M(2),L(1),XL(1)	1
119	58	4	2023-08-06	S(0),M(1),L(0),XL(0)	1
120	44	98	2023-08-06	S(2),M(0),L(1),XL(0)	4
121	86	67	2023-08-06	S(1),M(0),L(2),XL(2)	4
122	57	54	2023-08-06	S(1),M(0),L(1),XL(0)	4
123	58	50	2023-08-06	S(0),M(0),L(0),XL(1)	6
124	54	45	2023-08-06	S(1),M(0),L(0),XL(1)	5
125	80	48	2023-08-06	S(0),M(2),L(1),XL(0)	6
126	70	81	2023-08-06	S(2),M(2),L(1),XL(2)	6
127	69	49	2023-08-06	S(1),M(2),L(2),XL(2)	5
128	82	46	2023-08-07	S(0),M(1),L(2),XL(0)	2
129	22	58	2023-08-07	S(1),M(0),L(2),XL(2)	2
130	13	35	2023-08-07	S(0),M(0),L(0),XL(2)	2
131	95	46	2023-08-07	S(2),M(0),L(0),XL(0)	5
132	56	61	2023-08-07	S(1),M(1),L(2),XL(2)	6
133	40	4	2023-08-07	S(0),M(2),L(1),XL(1)	3
134	36	100	2023-08-07	S(2),M(1),L(1),XL(2)	1
135	93	31	2023-08-07	S(2),M(2),L(2),XL(0)	3
136	7	2	2023-08-07	S(0),M(1),L(2),XL(1)	3
137	69	64	2023-08-07	S(2),M(0),L(1),XL(0)	2
138	11	45	2023-08-07	S(2),M(2),L(2),XL(2)	1
139	58	34	2023-08-07	S(1),M(2),L(2),XL(0)	1
140	84	83	2023-08-07	S(0),M(2),L(0),XL(2)	4
141	34	45	2023-08-07	S(1),M(1),L(0),XL(0)	4
142	9	70	2023-08-07	S(0),M(2),L(2),XL(0)	5
143	18	1	2023-08-07	S(0),M(1),L(1),XL(2)	3
144	54	88	2023-08-07	S(0),M(1),L(0),XL(1)	1
145	93	100	2023-08-07	S(1),M(1),L(2),XL(0)	1
146	37	49	2023-08-07	S(0),M(0),L(1),XL(1)	1
147	23	80	2023-08-07	S(0),M(0),L(1),XL(2)	4
148	25	5	2023-08-07	S(0),M(1),L(2),XL(0)	6
149	67	24	2023-08-08	S(1),M(2),L(2),XL(1)	2
150	86	11	2023-08-08	S(2),M(0),L(2),XL(0)	3
151	45	69	2023-08-08	S(2),M(0),L(1),XL(2)	1
152	61	9	2023-08-08	S(0),M(1),L(0),XL(2)	1
153	82	61	2023-08-08	S(2),M(1),L(2),XL(0)	5
154	26	90	2023-08-08	S(2),M(2),L(2),XL(0)	3
155	38	2	2023-08-08	S(0),M(1),L(0),XL(2)	3
156	27	69	2023-08-08	S(2),M(2),L(1),XL(1)	3
157	16	13	2023-08-08	S(1),M(2),L(1),XL(0)	2
158	77	57	2023-08-08	S(1),M(2),L(0),XL(0)	5
159	47	39	2023-08-08	S(1),M(0),L(2),XL(0)	5
160	37	40	2023-08-08	S(0),M(2),L(0),XL(2)	3
161	13	6	2023-08-08	S(0),M(0),L(0),XL(2)	4
162	78	17	2023-08-08	S(0),M(0),L(0),XL(2)	4
163	34	27	2023-08-08	S(1),M(2),L(0),XL(2)	1
164	21	68	2023-08-08	S(1),M(1),L(1),XL(2)	1
165	71	28	2023-08-08	S(1),M(2),L(2),XL(0)	5
166	75	83	2023-08-08	S(0),M(1),L(1),XL(2)	2
167	77	15	2023-08-08	S(1),M(1),L(0),XL(0)	5
168	50	54	2023-08-08	S(1),M(1),L(0),XL(0)	3
169	5	30	2023-08-08	S(0),M(2),L(0),XL(0)	2
170	48	1	2023-08-08	S(0),M(0),L(1),XL(0)	4
171	70	23	2023-08-09	S(1),M(2),L(0),XL(0)	5
172	79	95	2023-08-09	S(2),M(1),L(0),XL(2)	5
173	30	91	2023-08-09	S(0),M(0),L(2),XL(1)	1
174	49	9	2023-08-09	S(0),M(1),L(2),XL(0)	4
175	99	8	2023-08-09	S(1),M(0),L(1),XL(1)	5
176	81	89	2023-08-09	S(1),M(2),L(1),XL(1)	3
177	100	56	2023-08-09	S(1),M(0),L(1),XL(1)	4
178	65	47	2023-08-09	S(1),M(1),L(0),XL(0)	1
179	80	21	2023-08-09	S(1),M(2),L(2),XL(2)	2
180	48	99	2023-08-09	S(1),M(0),L(1),XL(1)	2
181	32	94	2023-08-09	S(1),M(1),L(1),XL(2)	5
182	51	88	2023-08-09	S(0),M(0),L(2),XL(0)	3
183	86	10	2023-08-09	S(1),M(1),L(1),XL(0)	2
184	61	49	2023-08-09	S(0),M(1),L(2),XL(2)	2
185	96	95	2023-08-09	S(2),M(0),L(0),XL(1)	5
186	6	44	2023-08-09	S(0),M(0),L(1),XL(0)	3
187	61	84	2023-08-09	S(0),M(1),L(1),XL(2)	5
188	80	82	2023-08-09	S(1),M(1),L(1),XL(0)	3
189	36	57	2023-08-09	S(0),M(1),L(0),XL(2)	2
190	23	14	2023-08-09	S(2),M(1),L(2),XL(0)	2
191	28	25	2023-08-10	S(1),M(2),L(0),XL(0)	6
192	74	81	2023-08-10	S(0),M(2),L(2),XL(0)	2
193	66	77	2023-08-10	S(1),M(1),L(2),XL(1)	1
194	69	8	2023-08-10	S(0),M(2),L(0),XL(2)	6
195	80	95	2023-08-10	S(2),M(0),L(2),XL(1)	6
196	81	2	2023-08-10	S(1),M(2),L(1),XL(0)	3
197	69	85	2023-08-10	S(1),M(0),L(0),XL(0)	2
198	77	31	2023-08-10	S(1),M(0),L(1),XL(2)	2
199	92	48	2023-08-10	S(2),M(0),L(0),XL(1)	1
200	89	44	2023-08-10	S(0),M(1),L(2),XL(0)	5
201	63	69	2023-08-10	S(2),M(1),L(0),XL(0)	5
202	94	53	2023-08-10	S(0),M(1),L(0),XL(0)	1
203	56	75	2023-08-10	S(2),M(0),L(2),XL(0)	3
204	96	36	2023-08-10	S(2),M(1),L(2),XL(0)	6
205	36	48	2023-08-10	S(1),M(0),L(0),XL(2)	1
206	25	29	2023-08-10	S(1),M(2),L(1),XL(0)	6
207	72	77	2023-08-10	S(2),M(0),L(2),XL(1)	3
208	6	4	2023-08-10	S(2),M(1),L(1),XL(2)	1
209	3	61	2023-08-11	S(0),M(1),L(2),XL(0)	6
210	73	19	2023-08-11	S(0),M(2),L(1),XL(1)	2
211	79	92	2023-08-11	S(0),M(1),L(1),XL(1)	6
212	98	75	2023-08-11	S(2),M(2),L(1),XL(2)	3
213	39	30	2023-08-11	S(2),M(2),L(1),XL(2)	4
214	95	33	2023-08-11	S(2),M(2),L(0),XL(2)	3
215	93	5	2023-08-11	S(0),M(2),L(2),XL(2)	2
216	71	44	2023-08-11	S(2),M(0),L(0),XL(1)	1
217	40	25	2023-08-11	S(1),M(0),L(2),XL(2)	2
218	82	5	2023-08-11	S(1),M(2),L(2),XL(0)	5
219	50	88	2023-08-11	S(0),M(0),L(1),XL(2)	4
220	4	78	2023-08-11	S(0),M(2),L(2),XL(1)	2
221	76	60	2023-08-11	S(1),M(0),L(2),XL(2)	5
222	98	56	2023-08-11	S(1),M(2),L(0),XL(1)	2
223	24	82	2023-08-11	S(0),M(2),L(0),XL(2)	2
224	1	61	2023-08-11	S(1),M(1),L(0),XL(2)	2
225	74	76	2023-08-11	S(1),M(0),L(1),XL(0)	2
226	31	74	2023-08-11	S(0),M(1),L(1),XL(1)	6
227	96	36	2023-08-11	S(0),M(2),L(0),XL(1)	1
228	78	95	2023-08-12	S(0),M(0),L(1),XL(1)	2
229	66	35	2023-08-12	S(2),M(1),L(1),XL(2)	3
230	5	89	2023-08-12	S(2),M(2),L(0),XL(2)	4
231	20	92	2023-08-12	S(2),M(2),L(1),XL(1)	2
232	11	83	2023-08-12	S(1),M(0),L(0),XL(0)	5
233	75	10	2023-08-12	S(1),M(2),L(0),XL(2)	3
234	17	57	2023-08-12	S(0),M(0),L(2),XL(0)	1
235	72	44	2023-08-12	S(0),M(1),L(0),XL(2)	2
236	54	81	2023-08-12	S(2),M(2),L(1),XL(1)	1
237	27	53	2023-08-12	S(1),M(1),L(0),XL(0)	4
238	80	66	2023-08-12	S(1),M(0),L(2),XL(2)	6
239	12	32	2023-08-12	S(2),M(2),L(2),XL(1)	6
240	51	57	2023-08-12	S(1),M(1),L(0),XL(0)	6
241	97	77	2023-08-12	S(0),M(2),L(2),XL(1)	6
242	3	52	2023-08-12	S(2),M(2),L(0),XL(0)	4
243	89	96	2023-08-12	S(0),M(0),L(0),XL(2)	6
244	54	51	2023-08-12	S(0),M(1),L(2),XL(1)	6
245	87	55	2023-08-12	S(1),M(0),L(2),XL(1)	1
246	94	36	2023-08-12	S(0),M(2),L(0),XL(0)	3
247	37	72	2023-08-13	S(2),M(0),L(2),XL(1)	5
248	77	98	2023-08-13	S(2),M(0),L(1),XL(2)	4
249	85	83	2023-08-13	S(1),M(1),L(2),XL(0)	4
250	58	83	2023-08-13	S(1),M(2),L(1),XL(1)	2
251	50	29	2023-08-13	S(2),M(2),L(0),XL(0)	3
252	84	92	2023-08-13	S(0),M(1),L(1),XL(2)	2
253	58	47	2023-08-13	S(0),M(0),L(0),XL(1)	6
254	55	23	2023-08-13	S(0),M(2),L(2),XL(1)	6
255	80	51	2023-08-13	S(2),M(2),L(2),XL(0)	2
256	96	68	2023-08-13	S(0),M(0),L(1),XL(0)	1
257	97	40	2023-08-13	S(2),M(0),L(1),XL(0)	3
258	36	66	2023-08-13	S(0),M(1),L(1),XL(0)	3
259	47	5	2023-08-13	S(0),M(1),L(0),XL(1)	4
260	90	27	2023-08-13	S(1),M(2),L(1),XL(0)	1
261	34	90	2023-08-13	S(2),M(1),L(0),XL(1)	4
262	6	42	2023-08-13	S(0),M(2),L(0),XL(0)	4
263	16	88	2023-08-13	S(1),M(0),L(2),XL(2)	4
264	93	41	2023-08-13	S(2),M(2),L(1),XL(1)	1
265	11	33	2023-08-14	S(0),M(0),L(0),XL(1)	3
266	7	16	2023-08-14	S(1),M(1),L(1),XL(2)	1
267	58	43	2023-08-14	S(0),M(2),L(0),XL(0)	4
268	51	52	2023-08-14	S(0),M(1),L(1),XL(2)	6
269	37	14	2023-08-14	S(0),M(2),L(0),XL(0)	3
270	97	100	2023-08-14	S(0),M(0),L(2),XL(1)	4
271	33	4	2023-08-14	S(1),M(2),L(0),XL(0)	6
272	39	39	2023-08-14	S(1),M(2),L(2),XL(1)	4
273	81	84	2023-08-14	S(2),M(2),L(0),XL(2)	6
274	90	30	2023-08-14	S(0),M(1),L(0),XL(2)	2
275	81	97	2023-08-14	S(2),M(0),L(0),XL(1)	3
276	87	4	2023-08-14	S(0),M(0),L(1),XL(1)	2
277	87	82	2023-08-14	S(0),M(0),L(0),XL(2)	4
278	61	100	2023-08-14	S(1),M(2),L(1),XL(1)	3
279	97	86	2023-08-14	S(0),M(0),L(1),XL(2)	2
280	13	59	2023-08-14	S(1),M(1),L(2),XL(0)	1
281	82	62	2023-08-14	S(0),M(2),L(0),XL(0)	4
282	22	62	2023-08-14	S(2),M(1),L(0),XL(2)	4
283	29	3	2023-08-14	S(2),M(1),L(1),XL(0)	3
284	17	93	2023-08-14	S(1),M(1),L(0),XL(2)	1
285	35	6	2023-08-14	S(0),M(1),L(0),XL(1)	1
286	80	59	2023-08-14	S(0),M(2),L(2),XL(0)	2
287	73	99	2023-08-14	S(1),M(1),L(1),XL(1)	5
288	47	47	2023-08-14	S(1),M(2),L(1),XL(1)	2
289	70	74	2023-08-14	S(2),M(2),L(1),XL(1)	2
290	69	90	2023-08-15	S(1),M(1),L(2),XL(0)	5
291	53	8	2023-08-15	S(1),M(0),L(1),XL(2)	3
292	22	62	2023-08-15	S(0),M(2),L(1),XL(1)	6
293	43	86	2023-08-15	S(1),M(0),L(2),XL(0)	3
294	73	89	2023-08-15	S(1),M(1),L(2),XL(1)	1
295	43	23	2023-08-15	S(0),M(2),L(1),XL(1)	2
296	94	11	2023-08-15	S(0),M(0),L(2),XL(1)	3
297	73	23	2023-08-15	S(2),M(0),L(0),XL(1)	5
298	6	93	2023-08-15	S(2),M(0),L(1),XL(2)	4
299	35	4	2023-08-15	S(0),M(2),L(2),XL(0)	5
300	17	85	2023-08-15	S(2),M(0),L(2),XL(2)	5
301	65	2	2023-08-15	S(1),M(2),L(1),XL(0)	4
302	87	99	2023-08-16	S(0),M(1),L(2),XL(1)	2
303	22	18	2023-08-16	S(1),M(0),L(0),XL(1)	2
304	59	52	2023-08-16	S(0),M(0),L(1),XL(1)	2
305	10	89	2023-08-16	S(1),M(2),L(0),XL(2)	1
306	29	8	2023-08-16	S(1),M(2),L(0),XL(1)	3
307	60	89	2023-08-16	S(2),M(2),L(1),XL(1)	6
308	93	24	2023-08-16	S(1),M(1),L(1),XL(2)	3
309	33	41	2023-08-16	S(1),M(1),L(0),XL(1)	5
310	12	36	2023-08-16	S(2),M(2),L(2),XL(1)	3
311	39	30	2023-08-16	S(1),M(0),L(0),XL(1)	4
312	70	38	2023-08-16	S(1),M(0),L(0),XL(1)	6
313	21	92	2023-08-16	S(2),M(2),L(0),XL(0)	4
314	55	26	2023-08-16	S(1),M(2),L(2),XL(1)	5
315	14	78	2023-08-16	S(0),M(0),L(0),XL(2)	3
316	6	32	2023-08-16	S(0),M(1),L(1),XL(2)	3
317	66	86	2023-08-16	S(2),M(0),L(2),XL(2)	4
318	38	98	2023-08-16	S(1),M(1),L(0),XL(1)	6
319	70	83	2023-08-16	S(0),M(0),L(1),XL(1)	3
320	81	64	2023-08-17	S(2),M(2),L(2),XL(2)	6
321	55	4	2023-08-17	S(1),M(2),L(2),XL(1)	1
322	72	87	2023-08-17	S(1),M(0),L(1),XL(0)	1
323	34	69	2023-08-17	S(0),M(2),L(2),XL(1)	5
324	34	21	2023-08-17	S(2),M(1),L(2),XL(1)	5
325	43	29	2023-08-17	S(2),M(0),L(2),XL(1)	4
326	95	95	2023-08-17	S(0),M(2),L(1),XL(1)	5
327	14	66	2023-08-17	S(1),M(1),L(0),XL(2)	1
328	74	53	2023-08-17	S(0),M(0),L(1),XL(2)	3
329	56	69	2023-08-17	S(1),M(1),L(2),XL(2)	3
330	34	31	2023-08-17	S(0),M(2),L(2),XL(2)	2
331	57	83	2023-08-17	S(2),M(1),L(1),XL(0)	1
332	35	68	2023-08-17	S(1),M(0),L(1),XL(1)	2
333	82	21	2023-08-17	S(0),M(1),L(2),XL(2)	1
334	3	99	2023-08-17	S(0),M(0),L(2),XL(1)	5
335	95	48	2023-08-17	S(0),M(2),L(0),XL(0)	5
336	3	67	2023-08-17	S(1),M(1),L(2),XL(0)	6
337	59	92	2023-08-17	S(2),M(1),L(0),XL(2)	6
338	87	21	2023-08-17	S(2),M(1),L(1),XL(0)	2
339	59	69	2023-08-18	S(0),M(0),L(1),XL(1)	3
340	10	45	2023-08-18	S(0),M(2),L(2),XL(0)	6
341	7	38	2023-08-18	S(0),M(2),L(0),XL(2)	2
342	44	38	2023-08-18	S(2),M(1),L(0),XL(2)	1
343	10	77	2023-08-18	S(2),M(0),L(2),XL(1)	1
344	70	26	2023-08-18	S(1),M(0),L(1),XL(1)	5
345	96	52	2023-08-18	S(1),M(0),L(1),XL(1)	4
346	68	44	2023-08-18	S(1),M(1),L(0),XL(2)	5
347	82	99	2023-08-18	S(0),M(2),L(1),XL(0)	3
348	16	52	2023-08-18	S(1),M(2),L(0),XL(1)	2
349	5	22	2023-08-18	S(0),M(2),L(0),XL(1)	1
350	16	86	2023-08-18	S(1),M(2),L(0),XL(1)	6
351	9	70	2023-08-18	S(1),M(2),L(2),XL(2)	1
352	68	97	2023-08-19	S(2),M(2),L(1),XL(2)	1
353	6	29	2023-08-19	S(0),M(1),L(0),XL(2)	6
354	12	17	2023-08-19	S(0),M(1),L(2),XL(1)	5
355	56	16	2023-08-19	S(0),M(2),L(2),XL(1)	5
356	41	27	2023-08-19	S(2),M(1),L(2),XL(1)	3
357	39	68	2023-08-19	S(0),M(0),L(1),XL(2)	5
358	24	90	2023-08-19	S(0),M(1),L(1),XL(1)	3
359	93	31	2023-08-19	S(2),M(1),L(0),XL(2)	1
360	10	29	2023-08-19	S(0),M(2),L(0),XL(2)	3
361	88	81	2023-08-19	S(2),M(2),L(2),XL(1)	3
362	57	47	2023-08-19	S(1),M(0),L(0),XL(1)	3
363	54	35	2023-08-19	S(2),M(2),L(0),XL(2)	1
364	75	14	2023-08-19	S(0),M(0),L(2),XL(2)	3
365	35	60	2023-08-19	S(0),M(2),L(2),XL(2)	3
366	84	8	2023-08-19	S(0),M(0),L(1),XL(0)	5
367	100	45	2023-08-19	S(1),M(0),L(2),XL(0)	4
368	29	28	2023-08-19	S(2),M(1),L(1),XL(2)	6
369	70	35	2023-08-20	S(2),M(1),L(1),XL(0)	6
370	26	2	2023-08-20	S(1),M(1),L(1),XL(1)	4
371	83	44	2023-08-20	S(1),M(0),L(1),XL(0)	5
372	93	17	2023-08-20	S(1),M(1),L(1),XL(2)	2
373	36	94	2023-08-20	S(1),M(2),L(2),XL(2)	5
374	5	31	2023-08-20	S(2),M(1),L(1),XL(0)	3
375	49	39	2023-08-20	S(1),M(0),L(1),XL(1)	3
376	63	41	2023-08-20	S(1),M(0),L(2),XL(0)	2
377	97	62	2023-08-20	S(2),M(0),L(0),XL(2)	3
378	39	34	2023-08-20	S(0),M(2),L(1),XL(1)	5
379	50	87	2023-08-20	S(2),M(2),L(1),XL(2)	3
380	41	81	2023-08-20	S(1),M(0),L(1),XL(0)	4
381	25	61	2023-08-20	S(1),M(0),L(1),XL(1)	4
382	16	42	2023-08-20	S(0),M(2),L(1),XL(2)	6
383	17	46	2023-08-20	S(0),M(1),L(0),XL(0)	3
384	19	9	2023-08-20	S(0),M(2),L(2),XL(1)	2
385	85	14	2023-08-20	S(0),M(2),L(1),XL(0)	5
386	81	55	2023-08-20	S(0),M(0),L(1),XL(2)	4
387	21	3	2023-08-20	S(0),M(1),L(0),XL(2)	3
388	15	39	2023-08-20	S(1),M(1),L(1),XL(2)	4
389	100	98	2023-08-20	S(1),M(1),L(1),XL(2)	2
390	58	31	2023-08-20	S(0),M(1),L(1),XL(1)	2
391	60	1	2023-08-20	S(0),M(2),L(2),XL(2)	5
392	22	30	2023-08-20	S(0),M(1),L(2),XL(1)	6
393	83	51	2023-08-20	S(2),M(2),L(2),XL(1)	1
394	22	69	2023-08-20	S(1),M(2),L(0),XL(2)	3
395	56	65	2023-08-21	S(1),M(0),L(1),XL(0)	1
396	78	86	2023-08-21	S(0),M(2),L(1),XL(0)	5
397	66	42	2023-08-21	S(0),M(1),L(2),XL(0)	4
398	73	61	2023-08-21	S(2),M(1),L(1),XL(1)	1
399	53	32	2023-08-21	S(1),M(0),L(0),XL(0)	1
400	35	6	2023-08-21	S(0),M(0),L(0),XL(1)	2
401	66	74	2023-08-21	S(0),M(2),L(0),XL(1)	6
402	49	96	2023-08-21	S(1),M(0),L(2),XL(2)	1
403	22	21	2023-08-21	S(1),M(0),L(1),XL(2)	5
404	78	13	2023-08-21	S(0),M(1),L(1),XL(2)	5
405	95	84	2023-08-21	S(0),M(0),L(1),XL(0)	2
406	52	12	2023-08-21	S(1),M(2),L(0),XL(1)	6
407	35	51	2023-08-21	S(2),M(1),L(1),XL(0)	6
408	64	78	2023-08-21	S(2),M(0),L(0),XL(1)	1
409	89	23	2023-08-21	S(1),M(1),L(1),XL(1)	3
410	34	77	2023-08-21	S(2),M(0),L(2),XL(0)	2
411	65	76	2023-08-21	S(1),M(1),L(0),XL(1)	6
412	33	86	2023-08-21	S(0),M(1),L(0),XL(1)	4
413	45	9	2023-08-21	S(0),M(1),L(2),XL(2)	5
414	29	53	2023-08-21	S(2),M(2),L(1),XL(1)	6
415	81	90	2023-08-21	S(1),M(0),L(0),XL(2)	4
416	51	84	2023-08-21	S(0),M(1),L(2),XL(2)	1
417	37	65	2023-08-21	S(2),M(1),L(0),XL(2)	2
418	67	17	2023-08-21	S(1),M(2),L(1),XL(1)	5
419	100	21	2023-08-21	S(1),M(1),L(1),XL(1)	1
420	29	78	2023-08-21	S(0),M(1),L(2),XL(2)	4
421	8	79	2023-08-22	S(0),M(1),L(2),XL(2)	5
422	87	92	2023-08-22	S(0),M(2),L(2),XL(0)	4
423	80	88	2023-08-22	S(2),M(2),L(0),XL(2)	3
