RVNO	UNO	RNO	DATE
114	5	2	2023-09-07
115	24	9	2023-09-08
116	34	6	2023-09-08
117	88	15	2023-09-08
118	41	10	2023-09-08
119	56	11	2023-09-08
120	34	16	2023-09-08
121	72	16	2023-09-08
122	80	14	2023-09-08
123	47	11	2023-09-08
124	97	3	2023-09-08
125	6	3	2023-09-08
126	3	1	2023-09-08
127	49	2	2023-09-08
128	69	3	2023-09-08
129	61	3	2023-09-08
130	79	9	2023-09-09
131	74	6	2023-09-09
132	77	9	2023-09-09
133	15	6	2023-09-09
134	45	19	2023-09-09
135	12	13	2023-09-09
136	19	13	2023-09-09
137	27	16	2023-09-09
138	25	15	2023-09-09
139	58	8	2023-09-09
140	68	14	2023-09-09
141	32	15	2023-09-09
142	90	15	2023-09-09
143	61	8	2023-09-09
144	61	10	2023-09-09
145	74	16	2023-09-09
146	14	11	2023-09-09
147	14	12	2023-09-09
148	97	2	2023-09-09
149	41	9	2023-09-10
150	95	18	2023-09-10
151	12	13	2023-09-10
152	27	13	2023-09-10
153	52	10	2023-09-10
154	83	8	2023-09-10
155	87	12	2023-09-10
156	34	16	2023-09-10
157	34	16	2023-09-10
158	47	8	2023-09-10
159	15	8	2023-09-10
160	31	4	2023-09-10
161	90	1	2023-09-10
162	76	3	2023-09-10
163	51	18	2023-09-11
164	71	17	2023-09-11
165	17	6	2023-09-11
166	63	10	2023-09-11
167	52	10	2023-09-11
168	96	15	2023-09-11
169	7	16	2023-09-11
170	31	1	2023-09-11
171	24	4	2023-09-11
172	95	4	2023-09-11
173	34	3	2023-09-11
174	53	9	2023-09-12
175	41	9	2023-09-12
176	71	6	2023-09-12
177	36	16	2023-09-12
178	71	16	2023-09-12
179	32	16	2023-09-12
180	23	15	2023-09-12
181	100	2	2023-09-12
182	10	18	2023-09-13
183	81	17	2023-09-13
184	39	5	2023-09-13
185	97	10	2023-09-13
186	86	10	2023-09-13
187	78	14	2023-09-13
188	40	12	2023-09-13
189	65	10	2023-09-13
190	95	11	2023-09-13
191	37	1	2023-09-13
192	5	4	2023-09-13
193	87	1	2023-09-13
194	22	17	2023-09-14
195	51	9	2023-09-14
196	48	9	2023-09-14
197	58	9	2023-09-14
198	28	19	2023-09-14
199	82	10	2023-09-14
200	78	15	2023-09-14
201	99	12	2023-09-14
202	59	10	2023-09-14
203	84	2	2023-09-14
204	5	3	2023-09-14
205	99	3	2023-09-14
206	23	3	2023-09-14
207	89	18	2023-09-15
208	15	9	2023-09-15
209	15	18	2023-09-15
210	51	19	2023-09-15
211	82	11	2023-09-15
212	56	11	2023-09-15
213	54	14	2023-09-15
214	32	15	2023-09-15
215	11	10	2023-09-15
216	28	1	2023-09-15
217	51	1	2023-09-15
218	12	1	2023-09-15
219	3	4	2023-09-15
220	56	2	2023-09-15
221	96	2	2023-09-15
222	62	1	2023-09-15
223	88	18	2023-09-16
224	54	6	2023-09-16
225	46	9	2023-09-16
226	29	17	2023-09-16
227	61	17	2023-09-16
228	16	16	2023-09-16
229	25	10	2023-09-16
230	52	10	2023-09-16
231	68	11	2023-09-16
232	70	10	2023-09-16
233	70	14	2023-09-16
234	87	11	2023-09-16
235	13	8	2023-09-16
236	36	3	2023-09-16
237	47	3	2023-09-16
238	44	6	2023-09-17
239	81	18	2023-09-17
240	91	18	2023-09-17
241	71	18	2023-09-17
242	78	6	2023-09-17
243	46	17	2023-09-17
244	76	9	2023-09-17
245	89	16	2023-09-17
246	81	10	2023-09-17
247	33	15	2023-09-17
248	24	16	2023-09-17
249	69	15	2023-09-17
250	83	14	2023-09-17
251	78	10	2023-09-17
252	50	15	2023-09-17
253	46	16	2023-09-17
254	68	8	2023-09-17
255	79	12	2023-09-17
256	15	15	2023-09-17
257	26	4	2023-09-17
258	82	3	2023-09-17
259	56	4	2023-09-17
260	59	2	2023-09-17
261	87	1	2023-09-17
262	34	2	2023-09-17
263	88	18	2023-09-18
264	91	6	2023-09-18
265	35	5	2023-09-18
266	53	7	2023-09-18
267	44	14	2023-09-18
268	26	11	2023-09-18
269	67	10	2023-09-18
270	41	12	2023-09-18
271	54	10	2023-09-18
272	55	11	2023-09-18
273	79	16	2023-09-18
274	93	14	2023-09-18
275	92	11	2023-09-18
276	77	10	2023-09-18
277	64	2	2023-09-18
278	71	4	2023-09-18
279	69	3	2023-09-18
280	68	2	2023-09-18
281	90	4	2023-09-18
282	57	2	2023-09-18
283	89	18	2023-09-19
284	88	17	2023-09-19
285	58	17	2023-09-19
286	94	6	2023-09-19
287	44	10	2023-09-19
288	100	11	2023-09-19
289	81	15	2023-09-19
290	3	12	2023-09-19
291	24	11	2023-09-19
292	9	4	2023-09-19
293	33	2	2023-09-19
294	33	1	2023-09-19
295	45	9	2023-09-20
296	86	17	2023-09-20
297	34	17	2023-09-20
298	34	6	2023-09-20
299	74	18	2023-09-20
300	97	14	2023-09-20
301	16	16	2023-09-20
302	89	16	2023-09-20
303	67	10	2023-09-20
304	89	14	2023-09-20
305	56	14	2023-09-20
306	55	8	2023-09-20
307	23	8	2023-09-20
308	60	4	2023-09-20
309	63	2	2023-09-20
310	56	1	2023-09-20
311	18	17	2023-09-21
312	44	18	2023-09-21
313	9	9	2023-09-21
314	81	18	2023-09-21
315	86	18	2023-09-21
316	60	20	2023-09-21
317	16	8	2023-09-21
318	26	15	2023-09-21
319	52	15	2023-09-21
320	90	8	2023-09-21
321	87	11	2023-09-21
322	93	8	2023-09-21
323	57	4	2023-09-21
324	71	17	2023-09-22
325	2	18	2023-09-22
326	67	13	2023-09-22
327	25	8	2023-09-22
328	85	12	2023-09-22
329	34	10	2023-09-22
330	31	1	2023-09-22
331	75	4	2023-09-22
332	5	4	2023-09-22
333	55	3	2023-09-22
334	68	2	2023-09-22
335	18	9	2023-09-23
336	91	9	2023-09-23
337	29	17	2023-09-23
338	72	17	2023-09-23
339	11	6	2023-09-23
340	43	8	2023-09-23
341	2	10	2023-09-23
342	32	10	2023-09-23
343	79	8	2023-09-23
344	61	8	2023-09-23
345	64	3	2023-09-23
346	89	1	2023-09-23
347	36	4	2023-09-23
348	61	2	2023-09-23
349	18	9	2023-09-24
350	73	17	2023-09-24
351	46	9	2023-09-24
352	40	17	2023-09-24
353	21	17	2023-09-24
354	73	13	2023-09-24
355	9	12	2023-09-24
356	89	8	2023-09-24
357	82	14	2023-09-24
358	54	14	2023-09-24
359	78	10	2023-09-24
360	95	10	2023-09-24
361	99	2	2023-09-24
362	18	17	2023-09-25
363	26	6	2023-09-25
364	43	6	2023-09-25
365	56	6	2023-09-25
366	54	6	2023-09-25
367	95	6	2023-09-25
368	14	6	2023-09-25
369	39	5	2023-09-25
370	26	11	2023-09-25
371	33	10	2023-09-25
372	33	15	2023-09-25
373	96	10	2023-09-25
374	59	14	2023-09-25
375	45	2	2023-09-25
376	44	2	2023-09-25
377	81	17	2023-09-26
378	96	17	2023-09-26
379	29	17	2023-09-26
380	95	9	2023-09-26
381	47	9	2023-09-26
382	77	9	2023-09-26
383	42	20	2023-09-26
384	27	12	2023-09-26
385	26	16	2023-09-26
386	82	15	2023-09-26
387	36	14	2023-09-26
388	56	15	2023-09-26
389	52	16	2023-09-26
390	96	12	2023-09-26
391	99	10	2023-09-26
392	90	10	2023-09-26
393	62	12	2023-09-26
394	93	8	2023-09-26
395	13	8	2023-09-26
396	32	2	2023-09-26
397	20	1	2023-09-26
398	95	4	2023-09-26
399	81	6	2023-09-27
400	54	18	2023-09-27
401	69	18	2023-09-27
402	5	17	2023-09-27
403	74	9	2023-09-27
404	12	19	2023-09-27
405	27	8	2023-09-27
406	88	10	2023-09-27
407	91	8	2023-09-27
408	91	8	2023-09-27
409	91	16	2023-09-27
410	25	16	2023-09-27
411	24	11	2023-09-27
412	29	10	2023-09-27
413	34	12	2023-09-27
414	60	3	2023-09-27
415	44	3	2023-09-27
416	41	1	2023-09-27
417	7	4	2023-09-27
418	32	3	2023-09-27
419	80	2	2023-09-27
420	39	18	2023-09-28
421	90	6	2023-09-28
422	10	12	2023-09-28
423	82	11	2023-09-28
424	56	16	2023-09-28
425	75	16	2023-09-28
426	72	10	2023-09-28
427	14	10	2023-09-28
428	77	16	2023-09-28
429	12	3	2023-09-28
430	75	2	2023-09-28
431	38	3	2023-09-28
432	65	1	2023-09-28
433	86	6	2023-09-29
434	63	9	2023-09-29
435	56	18	2023-09-29
436	56	17	2023-09-29
437	29	18	2023-09-29
438	21	18	2023-09-29
439	6	11	2023-09-29
440	71	16	2023-09-29
441	17	15	2023-09-29
442	29	11	2023-09-29
443	46	8	2023-09-29
444	13	11	2023-09-29
445	3	1	2023-09-29
446	69	3	2023-09-29
447	83	3	2023-09-29
448	32	4	2023-09-29
449	17	6	2023-09-30
450	8	17	2023-09-30
451	12	13	2023-09-30
452	100	12	2023-09-30
453	89	12	2023-09-30
454	57	12	2023-09-30
455	74	12	2023-09-30
456	18	2	2023-09-30
457	28	2	2023-09-30
458	20	2	2023-09-30
459	74	1	2023-09-30
460	92	2	2023-09-30
461	28	18	2023-10-01
462	44	17	2023-10-01
463	91	17	2023-10-01
464	13	18	2023-10-01
465	42	7	2023-10-01
466	64	20	2023-10-01
467	39	13	2023-10-01
468	9	14	2023-10-01
469	91	8	2023-10-01
470	71	8	2023-10-01
471	17	12	2023-10-01
472	90	16	2023-10-01
473	20	15	2023-10-01
474	14	14	2023-10-01
475	28	4	2023-10-01
476	74	3	2023-10-01
477	47	4	2023-10-01
478	28	17	2023-10-02
479	50	6	2023-10-02
480	2	9	2023-10-02
481	11	9	2023-10-02
482	58	15	2023-10-02
483	55	15	2023-10-02
484	62	12	2023-10-02
485	77	14	2023-10-02
486	15	11	2023-10-02
487	35	3	2023-10-02
488	98	4	2023-10-02
489	2	1	2023-10-02
490	68	1	2023-10-02
491	8	18	2023-10-03
492	31	7	2023-10-03
493	36	12	2023-10-03
494	86	16	2023-10-03
495	7	11	2023-10-03
496	23	8	2023-10-03
497	13	8	2023-10-03
498	92	8	2023-10-03
499	63	1	2023-10-03
500	72	3	2023-10-03
501	2	9	2023-10-04
502	20	9	2023-10-04
503	92	6	2023-10-04
504	51	20	2023-10-04
505	97	15	2023-10-04
506	27	15	2023-10-04
507	67	15	2023-10-04
508	67	11	2023-10-04
509	29	12	2023-10-04
510	90	16	2023-10-04
511	62	16	2023-10-04
512	57	8	2023-10-04
513	76	16	2023-10-04
514	12	1	2023-10-04
515	68	3	2023-10-04
516	13	2	2023-10-04
517	18	18	2023-10-05
518	39	18	2023-10-05
519	63	18	2023-10-05
520	75	18	2023-10-05
521	87	9	2023-10-05
522	28	20	2023-10-05
523	16	8	2023-10-05
524	44	10	2023-10-05
525	91	10	2023-10-05
526	24	16	2023-10-05
527	17	11	2023-10-05
528	4	14	2023-10-05
529	79	15	2023-10-05
530	92	12	2023-10-05
531	14	14	2023-10-05
532	12	1	2023-10-05
533	31	4	2023-10-05
534	97	3	2023-10-05
535	49	2	2023-10-05
536	70	3	2023-10-05
537	93	3	2023-10-05
538	73	6	2023-10-06
539	37	18	2023-10-06
540	100	9	2023-10-06
541	83	6	2023-10-06
542	85	9	2023-10-06
543	29	18	2023-10-06
544	67	10	2023-10-06
545	88	12	2023-10-06
546	58	16	2023-10-06
547	51	3	2023-10-06
548	53	4	2023-10-06
549	96	1	2023-10-06
550	30	3	2023-10-06
551	13	2	2023-10-06
552	61	3	2023-10-06
553	74	1	2023-10-06
554	47	1	2023-10-06
555	92	4	2023-10-06
556	64	17	2023-10-07
557	78	18	2023-10-07
558	50	17	2023-10-07
559	30	9	2023-10-07
560	37	5	2023-10-07
561	53	19	2023-10-07
562	97	10	2023-10-07
563	10	16	2023-10-07
564	10	16	2023-10-07
565	56	16	2023-10-07
566	78	14	2023-10-07
567	58	15	2023-10-07
568	55	11	2023-10-07
569	15	10	2023-10-07
570	39	2	2023-10-07
571	98	3	2023-10-07
572	100	3	2023-10-07
573	88	3	2023-10-07
574	50	1	2023-10-07
575	12	17	2023-10-08
576	66	6	2023-10-08
577	43	18	2023-10-08
578	25	6	2023-10-08
579	54	6	2023-10-08
580	85	17	2023-10-08
581	21	6	2023-10-08
582	71	15	2023-10-08
583	56	8	2023-10-08
584	49	12	2023-10-08
585	32	11	2023-10-08
586	76	15	2023-10-08
587	87	15	2023-10-08
588	61	12	2023-10-08
589	92	10	2023-10-08
590	70	1	2023-10-08
591	47	1	2023-10-08
592	60	17	2023-10-09
593	16	17	2023-10-09
594	55	9	2023-10-09
595	65	6	2023-10-09
596	42	7	2023-10-09
597	10	16	2023-10-09
598	96	12	2023-10-09
599	5	11	2023-10-09
600	62	11	2023-10-09
601	15	8	2023-10-09
602	96	2	2023-10-09
603	50	2	2023-10-09
604	90	2	2023-10-09
605	20	1	2023-10-09
606	13	3	2023-10-09
607	18	6	2023-10-10
608	35	9	2023-10-10
609	82	18	2023-10-10
610	7	18	2023-10-10
611	61	18	2023-10-10
612	22	7	2023-10-10
613	35	20	2023-10-10
614	10	16	2023-10-10
615	9	8	2023-10-10
616	67	14	2023-10-10
617	29	12	2023-10-10
618	32	12	2023-10-10
619	80	14	2023-10-10
620	61	15	2023-10-10
621	77	11	2023-10-10
622	12	3	2023-10-10
623	9	4	2023-10-10
624	81	3	2023-10-10
625	7	3	2023-10-10
626	22	18	2023-10-11
627	56	9	2023-10-11
628	24	17	2023-10-11
629	4	9	2023-10-11
630	38	9	2023-10-11
631	26	13	2023-10-11
632	66	12	2023-10-11
633	57	15	2023-10-11
634	41	3	2023-10-11
635	25	1	2023-10-11
636	71	1	2023-10-11
637	59	3	2023-10-11
638	16	6	2023-10-12
639	89	9	2023-10-12
640	89	18	2023-10-12
641	83	18	2023-10-12
642	44	12	2023-10-12
643	36	11	2023-10-12
644	3	12	2023-10-12
645	46	10	2023-10-12
646	32	11	2023-10-12
647	62	11	2023-10-12
648	45	2	2023-10-12
649	89	1	2023-10-12
650	63	1	2023-10-12
651	29	4	2023-10-12
652	46	1	2023-10-12
653	65	1	2023-10-12
654	23	3	2023-10-12
655	74	3	2023-10-12
656	61	1	2023-10-12
657	37	9	2023-10-13
658	35	17	2023-10-13
659	27	18	2023-10-13
660	10	9	2023-10-13
661	85	18	2023-10-13
662	59	9	2023-10-13
663	59	9	2023-10-13
664	62	17	2023-10-13
665	47	17	2023-10-13
666	28	20	2023-10-13
667	16	7	2023-10-13
668	97	8	2023-10-13
669	33	14	2023-10-13
670	59	10	2023-10-13
671	38	15	2023-10-13
672	23	10	2023-10-13
673	93	10	2023-10-13
674	94	16	2023-10-13
675	10	2	2023-10-13
676	75	3	2023-10-13
677	50	2	2023-10-13
678	57	4	2023-10-13
679	79	1	2023-10-13
680	30	3	2023-10-13
681	30	2	2023-10-13
682	28	17	2023-10-14
683	19	6	2023-10-14
684	2	6	2023-10-14
685	68	18	2023-10-14
686	65	6	2023-10-14
687	26	13	2023-10-14
688	97	12	2023-10-14
689	81	15	2023-10-14
690	71	15	2023-10-14
691	40	10	2023-10-14
692	59	8	2023-10-14
693	72	8	2023-10-14
694	61	14	2023-10-14
695	15	8	2023-10-14
696	31	3	2023-10-14
697	96	2	2023-10-14
698	85	2	2023-10-14
699	2	4	2023-10-14
700	7	18	2023-10-15
701	76	18	2023-10-15
702	9	12	2023-10-15
703	67	15	2023-10-15
704	67	10	2023-10-15
705	88	16	2023-10-15
706	82	12	2023-10-15
707	48	12	2023-10-15
708	85	10	2023-10-15
709	4	11	2023-10-15
710	40	10	2023-10-15
711	20	15	2023-10-15
712	14	12	2023-10-15
713	98	2	2023-10-15
714	3	4	2023-10-15
715	33	4	2023-10-15
716	47	3	2023-10-15
717	94	1	2023-10-15
