p_no	u_no	g_no	p_quantity	 p_amount 	p_state
362	27	20	2	38880	3
363	53	134	1	37168	1
364	31	89	3	72036	2
365	228	60	1	26080	1
366	38	130	2	57960	3
367	270	42	2	49980	1
368	57	8	2	20768	2
369	92	81	3	80316	2
370	203	54	2	86800	1
371	212	141	2	53728	3
372	220	19	1	47400	3
373	209	64	2	23472	1
374	124	55	5	53790	1
375	221	23	3	119850	3
376	204	25	1	39468	1
377	82	61	3	113988	2
378	79	59	1	18800	2
379	258	59	5	89300	2
380	198	125	4	108300	1
381	218	60	3	78240	3
382	254	49	1	17680	1
383	184	11	2	20592	1
384	226	150	3	127800	2
385	270	115	3	89271	3
386	260	76	1	26220	1
387	128	86	3	34125	2
388	208	19	2	86268	2
389	209	140	1	27370	3
390	233	53	4	82840	2
391	64	94	2	40460	3
392	113	141	2	53728	3
393	1	99	3	35955	3
394	18	36	1	36708	3
395	1	125	2	54150	2
396	82	17	3	94050	1
397	205	96	1	46170	2
398	221	93	1	46221	3
399	126	63	2	60822	2
400	236	82	3	33516	3
401	33	92	2	18900	2
402	61	63	1	30411	1
403	232	6	3	15876	2
404	210	60	1	27710	1
405	66	60	1	27710	2
406	231	60	1	27710	1
407	24	60	1	20800	2
408	240	134	1	37168	3
409	279	125	1	27075	2
410	229	8	3	31152	3
411	220	4	1	33680	2
412	246	127	2	53440	3
413	268	137	2	81144	1
414	35	16	1	40035	1
415	145	64	1	11736	1
416	206	40	1	28500	3
417	19	19	2	86268	1
418	49	50	2	66690	3
419	82	127	3	100200	2
420	152	131	2	22780	3
421	103	82	2	9044	1
422	266	10	1	43600	1
423	146	85	1	21850	3
424	52	52	3	39015	2
425	180	4	1	33680	2
426	17	84	2	81328	2
427	35	115	1	31065	2
428	167	115	3	89700	1
429	159	129	3	31590	3
430	122	66	3	121635	3
431	23	87	3	132480	3
432	105	106	2	56304	3
433	42	38	1	27795	3
434	115	136	1	26790	3
435	82	136	1	26790	2
436	18	56	3	58320	1
437	171	32	3	134400	2
438	15	2	3	45360	3
439	166	42	3	88200	2
440	8	40	2	52440	1
441	158	147	3	120300	1
442	214	42	3	74970	1
443	141	135	1	42504	1
444	246	71	3	119415	1
445	252	142	3	33150	2
446	232	12	2	80812	3
447	27	127	2	66800	3
448	218	38	3	83385	1
449	119	82	5	44688	1
450	147	43	2	52624	1
451	56	141	1	26864	3
452	40	137	2	81144	2
453	222	133	2	24700	3
454	227	120	1	43320	3
455	58	61	1	37996	3
456	34	66	3	121635	3
457	46	137	1	40572	1
458	38	69	2	73280	3
459	115	65	1	31540	2
460	93	67	1	27880	3
461	244	136	2	56400	2
462	113	150	1	37914	2
463	250	107	2	91448	2
464	94	78	2	60168	3
465	20	16	4	160140	1
466	239	11	2	38844	2
467	136	92	3	28350	3
468	135	54	1	36890	1
469	32	54	1	20400	3
470	123	54	1	36890	3
471	131	54	3	126360	1
472	166	123	3	97500	3
473	207	143	1	25120	2
474	270	85	3	62790	2
475	95	45	2	37200	1
476	7	18	2	21000	2
477	169	128	2	90896	1
478	123	62	1	28560	2
479	110	111	2	74240	2
480	189	28	3	39114	1
481	224	22	2	69000	2
482	96	61	1	37996	3
483	150	5	1	9912	3
484	145	28	1	13038	2
485	174	104	2	18642	2
486	170	107	3	137172	2
487	135	46	3	135792	1
488	23	54	3	110670	1
489	239	140	3	82110	1
490	249	140	2	24180	3
491	113	140	2	40400	3
492	176	140	3	82110	2
493	49	77	3	114000	3
494	19	63	2	65400	1
495	48	46	2	93480	3
496	266	66	3	121635	2
497	153	54	1	36890	3
498	143	81	2	53544	1
499	8	38	1	27795	2
500	171	149	3	140505	3
501	153	52	2	26010	1
502	113	79	2	48208	3
503	207	2	2	76896	3
504	186	98	2	76190	2
505	185	6	2	21600	3
506	24	117	1	20400	2
507	72	38	2	65400	2
508	74	100	3	46800	3
509	42	148	1	18870	2
510	166	148	1	11985	3
511	169	148	1	18870	2
512	125	148	1	18870	1
513	132	128	2	90896	3
514	119	3	1	3614	2
515	71	31	2	76176	3
516	201	145	2	30600	1
517	166	80	1	24140	3
518	279	123	2	55250	2
519	69	150	2	25560	1
520	13	113	1	33040	3
521	192	51	4	117980	3
522	180	9	1	15721	1
523	206	71	4	159220	3
524	247	93	2	92442	1
525	22	102	1	31832	3
526	78	101	3	89760	2
527	101	148	3	56610	2
528	185	98	2	76190	3
529	142	42	2	49980	2
530	177	13	2	10020	1
531	42	141	2	49640	3
532	88	143	3	86664	1
533	28	86	3	34125	3
534	230	66	5	162180	2
535	226	123	2	55250	3
536	8	75	1	21240	3
537	90	59	5	75200	1
538	112	41	2	88816	2
539	55	135	3	138600	2
540	256	87	2	86400	1
541	129	87	3	62400	2
542	125	87	1	39950	2
543	100	28	3	39114	3
544	244	39	3	114882	1
545	154	16	1	47100	1
546	58	4	1	33680	1
547	75	59	3	56400	3
548	274	97	3	85590	3
549	173	2	2	76896	2
550	275	125	2	57000	3
551	280	114	3	70866	2
552	273	80	3	72420	1
553	41	43	2	48620	2
554	97	28	4	108120	2
555	118	103	5	51680	3
556	232	4	1	33680	1
557	212	57	1	29495	1
558	116	57	2	65930	1
559	256	23	3	119850	3
560	136	23	5	104800	1
561	273	23	3	39780	3
562	170	23	3	103800	2
563	174	20	2	84830	2
564	276	101	2	59840	1
565	183	75	1	21712	1
566	21	33	3	51765	2
567	22	73	3	61710	1
568	3	147	3	120300	1
569	177	22	2	67500	2
570	82	82	3	33516	1
571	172	78	2	60168	3
572	166	140	2	64400	2
573	129	111	4	148480	2
574	228	144	3	104880	3
575	66	116	3	38880	1
576	79	120	2	86640	2
577	16	126	2	51680	1
578	120	84	1	40222	3
579	277	134	1	40400	1
580	19	30	3	60720	1
581	72	37	4	71424	3
582	257	57	3	88485	3
583	220	111	2	92800	3
584	46	111	2	51680	3
585	90	111	2	54720	2
586	151	111	1	15300	3
587	248	65	1	28220	3
588	185	71	3	119415	1
589	151	134	3	111504	1
590	192	67	1	27880	3
591	185	69	3	31602	3
592	239	137	2	81144	2
593	91	112	1	19688	2
594	139	88	4	113280	2
595	260	115	3	89271	3
596	75	33	1	20300	3
597	132	85	3	65550	3
598	68	115	2	59514	2
599	246	109	2	71400	1
600	116	108	3	111384	1
601	209	104	1	20315	2
602	197	41	2	88816	2
603	98	119	3	70200	3
604	24	96	3	138510	1
605	220	24	3	66810	3
606	19	34	3	28815	2
607	145	149	3	140505	2
608	67	7	3	53586	1
609	232	67	2	65600	3
610	64	30	3	60720	3
611	182	28	3	39114	1
612	6	87	3	132480	2
613	51	75	1	21712	2
614	26	75	1	21712	3
615	55	75	1	21712	3
616	245	60	1	26080	2
617	108	24	4	89080	3
618	233	91	1	17170	2
619	229	91	1	18584	2
620	136	91	1	18584	2
621	12	49	1	17680	3
622	229	77	2	72200	2
623	243	124	1	39071	1
624	7	2	2	76896	3
625	239	128	4	181792	3
626	194	12	2	80812	2
627	19	150	3	127800	3
628	130	9	4	39800	1
629	180	38	1	32700	2
630	64	110	5	41750	2
631	115	63	3	98100	1
632	42	115	5	124260	2
633	185	115	3	77700	3
634	200	83	2	77860	3
635	2	133	3	31200	3
636	135	112	1	17120	1
637	183	112	2	20800	2
638	110	112	2	39376	1
639	173	56	4	77760	3
640	81	103	2	27200	3
641	41	141	2	53728	1
642	187	36	4	151620	3
643	194	78	3	98100	1
644	241	8	1	10384	3
645	254	102	2	69200	1
646	141	107	2	90454	3
647	114	98	1	40100	1
648	139	89	1	26100	3
649	259	139	1	13940	1
650	95	88	5	134520	3
651	273	38	3	83385	1
652	213	18	2	21000	2
653	65	59	2	37600	1
654	6	3	5	18070	3
655	112	31	1	39330	3
656	141	102	3	83040	1
657	147	109	1	35700	2
658	280	55	1	25428	1
659	70	123	3	82875	3
660	105	78	1	30084	2
661	144	78	1	30084	3
662	273	78	1	30084	1
663	132	41	2	92720	2
664	155	106	3	84456	3
665	57	106	3	61548	2
666	74	106	3	84456	3
667	82	148	4	75480	3
668	187	42	4	99960	3
669	61	37	1	18240	1
670	35	73	3	61710	2
671	205	37	1	17856	3
672	223	100	1	13260	3
673	137	13	3	37575	1
674	252	78	2	60168	2
675	192	8	1	10384	2
676	24	66	1	47700	2
677	95	66	3	116700	2
678	202	66	1	40545	2
679	243	66	3	111520	2
680	150	112	1	19688	3
681	196	94	2	40460	3
682	84	35	1	41900	3
683	153	39	2	44832	2
684	204	17	2	62700	1
685	137	53	1	20710	3
686	211	127	4	113560	3
687	237	80	2	48280	2
688	233	149	5	187340	3
689	174	124	3	117213	2
690	161	19	2	87216	3
691	271	125	5	91200	1
692	268	53	2	40112	2
693	80	80	1	24140	3
694	141	71	2	77096	3
695	105	150	3	127800	1
696	86	19	1	43134	1
697	249	107	1	45724	2
698	50	9	2	31442	2
699	261	16	2	80070	3
700	171	54	1	36890	1
701	205	54	1	36890	1
702	57	54	1	20424	3
703	264	54	1	18800	1
704	59	95	1	32700	3
705	10	148	1	18870	2
706	57	31	2	76176	3
707	130	53	2	41420	3
708	170	101	2	56320	2
709	63	119	2	44460	1
710	26	48	2	51680	1
711	205	130	1	28980	1
712	249	130	2	59850	1
713	151	134	2	74336	1
714	82	34	2	19210	3
715	70	6	5	26460	1
716	56	114	3	72390	1
717	275	60	3	78240	3
718	46	134	5	148672	1
719	161	136	1	23970	3
720	86	120	3	129960	2
721	104	18	1	4725	1
722	240	30	1	20240	2
723	107	31	1	38088	1
724	79	107	1	45227	2
725	189	10	1	9592	3
726	143	45	2	35340	3
727	59	60	2	52160	3
728	134	128	1	45448	1
729	244	29	3	105030	3
730	42	7	2	35724	1
731	68	19	2	87216	3
732	199	27	2	37910	2
733	151	142	3	33150	2
734	242	53	1	20710	1
735	63	36	1	39900	1
736	77	91	2	40400	2
737	144	126	1	25840	3
738	55	84	3	132600	3
739	41	79	1	20960	2
740	246	138	2	84490	2
741	6	113	1	41300	1
742	60	9	4	39800	1
743	45	98	1	40100	2
744	167	41	2	92720	3
745	116	143	1	28888	3
746	131	117	2	40800	1
747	274	124	2	78142	1
748	155	2	1	38448	3
749	114	76	1	26220	2
750	19	76	1	26220	1
751	90	76	1	26220	2
752	193	45	2	35340	3
753	176	22	3	101250	2
754	165	124	2	40388	2
755	154	22	3	101250	3
756	219	86	1	11500	2
757	259	32	1	41216	3
758	162	61	1	37996	1
759	275	139	2	27880	1
760	165	50	1	35100	1
761	85	99	3	35955	1
762	272	11	2	38844	3
763	253	122	1	15810	1
764	62	4	1	33680	2
765	130	33	2	34510	2
766	96	69	2	73280	1
767	31	57	3	88485	2
768	1	138	1	49700	2
769	9	66	2	81090	2
770	235	96	1	46170	3
771	102	104	1	20315	3
772	267	136	2	47940	3
773	163	127	3	80160	1
774	162	127	1	28390	3
775	150	127	3	55800	3
776	186	127	2	48400	2
777	116	68	3	95190	2
778	182	67	2	55760	1
779	43	84	2	80444	3
780	249	124	1	39071	1
781	210	106	1	28152	3
782	249	76	3	77805	1
783	105	132	1	17200	2
784	160	137	1	40572	1
785	111	29	3	105030	1
786	237	109	5	142800	1
787	184	49	2	35360	1
788	189	16	1	40035	2
789	272	80	3	72420	3
790	209	56	3	64800	1
791	141	47	3	93330	1
792	268	30	3	60060	2
793	138	37	1	17856	2
794	48	106	3	84456	3
795	191	107	1	45724	1
796	138	108	1	37128	1
797	7	108	3	70866	2
798	129	108	2	41600	2
799	273	123	2	55250	2
800	168	113	2	66080	2
801	115	86	2	23000	3
802	235	94	2	40460	2
803	222	129	1	11115	3
804	134	139	2	27880	3
805	205	50	1	31590	3
806	142	42	4	108192	3
807	254	68	5	120240	1
808	5	138	4	168980	2
809	43	110	4	33400	2
810	194	106	4	112608	3
811	258	108	3	112608	3
812	272	148	4	75480	3
813	188	62	4	114240	3
814	14	45	1	17670	1
815	204	111	3	118320	1
816	235	94	1	20230	2
817	114	106	1	28152	2
818	48	39	1	22416	2
819	270	82	3	33516	2
820	98	88	1	28320	2
821	240	88	1	28320	2
822	21	46	2	90528	2
823	200	57	2	58990	1
824	165	137	2	81144	3
825	158	130	2	59850	1
826	211	144	4	117760	2
827	217	27	3	56865	1
828	168	90	4	149604	1
829	102	14	3	44484	1
830	71	75	1	21240	1
831	62	69	3	31602	2
832	150	16	2	80070	2
833	100	49	2	35360	2
834	181	75	4	84960	1
835	67	111	3	118320	2
836	128	68	1	31730	3
837	14	118	3	105600	3
838	155	118	3	98100	3
839	198	118	4	161920	3
840	235	14	2	51224	3
841	53	54	3	110670	2
842	276	91	4	68680	2
843	140	70	3	129129	1
844	103	82	2	9044	2
845	111	100	2	29640	1
846	199	4	4	134720	2
847	263	13	4	50100	2
848	96	141	3	74460	2
849	104	23	2	79900	3
850	167	84	2	81328	1
851	114	32	1	38080	3
852	115	134	1	37168	3
853	246	134	1	37168	2
854	191	134	1	24310	3
855	22	72	2	73910	3
856	211	102	2	55360	1
857	256	79	3	72312	2
858	53	10	3	28776	2
859	195	51	3	88485	1
860	43	69	3	109920	3
861	276	19	4	174432	3
862	143	35	3	114387	3
863	45	38	2	55590	2
864	82	106	2	56304	3
865	152	10	4	153472	2
866	119	142	3	33150	3
867	221	121	3	95496	2
868	55	78	2	60168	1
869	14	69	4	42136	1
870	255	113	4	132160	1
871	109	13	1	12525	2
872	263	19	4	172536	1
873	212	83	1	38930	1
874	73	9	2	31442	1
875	212	148	2	37740	1
876	167	126	4	103360	2
877	147	60	2	52160	2
878	36	43	4	105248	3
879	80	33	2	34510	1
880	111	12	2	80812	1
881	87	23	3	119850	2
882	268	141	2	53728	2
883	164	55	1	25428	1
884	39	24	4	89080	1
885	29	7	4	71448	2
886	229	28	4	110664	3
887	137	31	2	78660	1
888	9	31	1	17200	3
889	61	60	1	27710	1
890	78	60	4	104320	2
891	77	68	1	30060	2
892	44	6	2	17928	3
893	64	86	3	34125	3
894	127	131	1	11390	1
895	74	44	1	17850	1
896	263	113	1	37996	1
897	118	8	3	31152	3
898	167	65	4	112880	2
899	219	57	3	88485	2
900	123	6	3	15876	3
901	34	61	1	37996	1
902	157	7	4	71448	2
903	234	25	2	78936	3
904	184	21	4	168912	1
905	258	16	3	120105	2
906	148	19	3	130824	1
907	278	112	2	39376	1
908	276	100	1	14820	2
909	5	100	1	14820	2
910	81	29	1	35788	1
911	205	24	1	22270	1
912	96	24	3	66810	3
913	6	24	1	21400	1
914	98	24	2	24388	1
915	163	94	2	40460	2
916	194	113	2	75992	2
917	183	103	4	51680	1
918	109	67	1	27880	2
919	31	62	2	57120	2
920	154	67	4	111520	3
921	215	103	2	25024	2
922	203	117	1	24225	2
923	116	104	2	18642	3
924	198	18	1	4725	2
925	188	71	4	159220	1
926	237	138	1	42245	1
927	203	11	1	19422	3
928	204	47	1	31110	1
929	2	66	2	81090	2
930	256	116	3	41310	1
931	113	61	4	151984	1
932	84	91	4	74336	2
933	80	91	1	17170	3
934	90	38	3	83385	1
935	31	69	4	42136	3
936	81	131	1	11390	3
937	59	131	1	11390	3
938	110	131	1	11390	2
939	46	131	1	11390	1
940	137	122	4	63240	1
941	47	137	1	40572	1
942	15	122	1	15810	1
943	90	81	4	107088	1
944	232	123	2	55250	1
945	39	105	3	117045	3
946	194	47	3	93330	1
947	193	29	2	70020	3
948	236	87	4	172800	2
949	156	80	4	96560	3
950	186	57	3	88485	1
951	98	134	1	37168	2
952	59	111	2	74240	3
953	210	127	2	56780	2
954	146	149	4	181424	2
955	183	41	2	88816	1
956	228	94	3	60690	2
957	28	40	4	104880	3
958	274	63	2	60822	3
959	226	115	1	31065	2
960	254	12	1	16798	3
961	213	57	2	58990	2
962	27	130	2	57960	1
963	248	16	1	40035	2
964	99	8	1	10384	2
965	98	101	4	112640	1
966	190	29	1	35788	3
967	255	89	1	20880	3
968	254	89	1	24012	2
969	96	89	1	24012	2
970	142	24	4	89080	1
971	269	74	2	52640	2
972	270	77	4	138320	3
973	192	58	4	145540	2
974	53	75	2	43424	2
975	23	100	1	14820	3
976	187	7	4	71448	2
977	196	19	3	130824	2
978	166	132	3	46440	3
979	6	128	4	181792	3
980	256	125	2	45600	2
981	165	39	3	114882	3
982	222	73	3	61710	2
983	185	117	1	24225	3
984	192	130	1	28980	1
985	130	145	3	42228	2
986	216	113	1	37996	2
987	136	98	4	136340	3
988	152	99	1	11985	2
989	54	16	1	11304	3
990	51	1	3	114240	3
991	249	35	3	114387	1
992	110	79	2	41920	3
993	184	90	4	149604	1
994	154	106	3	84456	1
995	16	106	4	75200	3
996	126	106	1	18600	1
997	276	26	1	41860	3
998	260	76	4	103740	3
999	15	60	2	52160	2
1000	263	58	1	36385	1
1001	192	14	4	59312	2
1002	24	50	4	133380	2
1003	87	4	4	134720	1
1004	162	92	1	22680	1
1005	82	145	4	56304	1
1006	96	140	4	109480	2
1007	172	47	2	62220	3
1008	23	120	4	173280	3
1009	145	35	2	76258	1
1010	146	81	4	107088	3
1011	25	47	3	93330	1
1012	123	109	4	142800	1
1013	31	91	4	74336	1
1014	88	63	1	30411	2
1015	253	75	3	63720	3
1016	44	111	4	157760	1
1017	221	117	2	48450	2
1018	2	114	1	24130	1
1019	173	39	4	153176	1
1020	243	91	4	68680	2
1021	146	120	1	43320	2
1022	210	126	1	25840	2
1023	7	117	1	24225	1
1024	250	133	4	41600	3
1025	84	12	2	33596	2
1026	83	144	3	88320	2
1027	221	80	2	48280	2
1028	179	52	1	13005	1
1029	244	66	2	81090	3
1030	126	57	4	117980	1
1031	118	137	4	162288	1
1032	166	114	4	94488	2
1033	231	120	4	165984	1
1034	71	92	2	45360	1
1035	152	96	1	46170	1
1036	13	30	3	60720	3
1037	169	75	1	21240	3
1038	25	75	2	42480	1
1039	139	85	3	65550	2
1040	3	143	3	75360	2
1041	104	6	3	15876	1
1042	240	96	2	87480	2
1043	255	120	4	165984	2
1044	161	38	1	27795	1
1045	194	38	1	27795	1
1046	117	38	1	27795	2
1047	33	38	1	27795	3
1048	131	36	1	36708	2
1049	212	148	1	18870	3
1050	98	62	3	85680	1
1051	20	67	1	27880	2
1052	207	142	1	11050	2
1053	186	120	1	43320	2
1054	203	2	1	38448	1
1055	101	2	1	38448	1
1056	36	34	4	38420	1
1057	278	125	1	22800	1
1058	62	111	4	157760	3
1059	191	91	4	68680	2
1060	113	123	3	82875	1
1061	160	32	4	164864	2
1062	119	122	1	15810	2
1063	32	133	3	37050	3
1064	272	21	3	130815	2
1065	42	71	2	77096	2
1066	15	148	3	56610	1
1067	171	148	4	68800	1
